catalog_order,canonical_code,work_slug,title,title_english,title_transliterated,genre,pitaka_division,section_key,section_label,section_title,fascicle_count,volume_ref,translator_slug,translator_name,translator_native_name,translator_role,notes
1032,T0259,t0259,佛說觀想佛母般若波羅蜜多菩薩經,,,sutra,sutra,prajna,般若部,般若部,1,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 天息災譯。
1033,T0260,t0260,佛說開覺自性般若波羅蜜多經,,,sutra,sutra,prajna,般若部,般若部,4,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 惟淨等譯。
1034,T0261,t0261,大乘理趣六波羅蜜多經,,,sutra,sutra,prajna,般若部,般若部,10,T08,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 般若譯。
1001,T0263,t0263,正法華經,,,sutra,sutra,lotus,法華部,法華部,10,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1002,T0264,t0264,添品妙法蓮華經,,,sutra,sutra,lotus,法華部,法華部,7,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 闍那崛多共笈多譯。
1003,T0265,t0265,薩曇分陀利經,,,sutra,sutra,lotus,法華部,法華部,1,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1004,T0266,t0266,佛說阿惟越致遮經,,,sutra,sutra,lotus,法華部,法華部,3,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1005,T0267,t0267,不退轉法輪經,,,sutra,sutra,lotus,法華部,法華部,4,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1006,T0268,t0268,佛說廣博嚴淨不退轉輪經,,,sutra,sutra,lotus,法華部,法華部,6,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 智嚴譯。
1007,T0269,t0269,佛說法華三昧經,,,sutra,sutra,lotus,法華部,法華部,1,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 智嚴譯。
1008,T0270,t0270,大法鼓經,,,sutra,sutra,lotus,法華部,法華部,2,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1009,T0271,t0271,佛說菩薩行方便境界神通變化經,,,sutra,sutra,lotus,法華部,法華部,3,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1010,T0272,t0272,大薩遮尼乾子所說經,,,sutra,sutra,lotus,法華部,法華部,10,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 菩提留支譯。
1011,T0273,t0273,金剛三昧經,,,sutra,sutra,lotus,法華部,法華部,1,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1012,T0274,t0274,佛說濟諸方等學經,,,sutra,sutra,lotus,法華部,法華部,1,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1013,T0275,t0275,大乘方廣總持經,,,sutra,sutra,lotus,法華部,法華部,1,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 毘尼多流支譯。
1014,T0276,t0276,無量義經,,,sutra,sutra,lotus,法華部,法華部,1,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：蕭齊 曇摩伽陀耶舍譯。
1015,T0277,t0277,佛說觀普賢菩薩行法經,,,sutra,sutra,lotus,法華部,法華部,1,T09,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 曇無蜜多譯。
1001,T0280,t0280,佛說兜沙經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 支婁迦讖譯。
1002,T0281,t0281,佛說菩薩本業經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1003,T0282,t0282,諸菩薩求佛本業經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 聶道真譯。
1004,T0283,t0283,菩薩十住行道品,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1005,T0284,t0284,佛說菩薩十住經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 祇多蜜譯。
1006,T0285,t0285,漸備一切智德經,,,sutra,sutra,huayan,華嚴部,華嚴部,5,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1007,T0286,t0286,十住經,,,sutra,sutra,huayan,華嚴部,華嚴部,4,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 鳩摩羅什譯。
1008,T0287,t0287,佛說十地經,,,sutra,sutra,huayan,華嚴部,華嚴部,9,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 尸羅達摩譯。
1009,T0288,t0288,等目菩薩所問三昧經,,,sutra,sutra,huayan,華嚴部,華嚴部,3,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1010,T0289,t0289,顯無邊佛土功德經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 玄奘譯。
1011,T0290,t0290,佛說較量一切佛剎功德經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1012,T0291,t0291,佛說如來興顯經,,,sutra,sutra,huayan,華嚴部,華嚴部,4,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1013,T0292,t0292,度世品經,,,sutra,sutra,huayan,華嚴部,華嚴部,6,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1014,T0293,t0293,大方廣佛華嚴經,,,sutra,sutra,huayan,華嚴部,華嚴部,40,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 般若譯。
1015,T0294,t0294,佛說羅摩伽經,,,sutra,sutra,huayan,華嚴部,華嚴部,3,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西秦 聖堅譯。
1016,T0295,t0295,大方廣佛華嚴經入法界品,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 地婆訶羅譯。
1017,T0296,t0296,文殊師利發願經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 佛陀跋陀羅譯。
1018,T0297,t0297,普賢菩薩行願讚,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 不空譯。
1019,T0298,t0298,大方廣普賢所說經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 實叉難陀譯。
1020,T0299,t0299,大方廣總持寶光明經,,,sutra,sutra,huayan,華嚴部,華嚴部,5,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法天譯。
1021,T0300,t0300,大方廣佛華嚴經不思議佛境界分,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 提雲般若譯。
1022,T0301,t0301,大方廣如來不思議境界經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 實叉難陀譯。
1023,T0302,t0302,度諸佛境界智光嚴經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1024,T0303,t0303,佛華嚴入如來德智不思議境界經,,,sutra,sutra,huayan,華嚴部,華嚴部,2,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 闍那崛多譯。
1025,T0304,t0304,大方廣入如來智德不思議經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 實叉難陀譯。
1026,T0305,t0305,信力入印法門經,,,sutra,sutra,huayan,華嚴部,華嚴部,5,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 曇摩流支譯。
1027,T0306,t0306,大方廣佛花嚴經修慈分,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 提雲般若等譯。
1028,T0307,t0307,佛說莊嚴菩提心經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 鳩摩羅什譯。
1029,T0308,t0308,佛說大方廣菩薩十地經,,,sutra,sutra,huayan,華嚴部,華嚴部,1,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 吉迦夜譯。
1030,T0309,t0309,最勝問菩薩十住除垢斷結經,,,sutra,sutra,huayan,華嚴部,華嚴部,10,T10,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 竺佛念譯。
1001,T0311,t0311,大方廣三戒經,,,sutra,sutra,ratnakuta,寶積部,寶積部,3,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：北涼 曇無讖譯。
1002,T0312,t0312,佛說如來不思議祕密大乘經,,,sutra,sutra,ratnakuta,寶積部,寶積部,20,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法護．惟淨譯。
1003,T0313,t0313,阿閦佛國經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 支婁迦讖譯。
1004,T0314,t0314,佛說大乘十法經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：梁 僧伽婆羅譯。
1005,T0315a,t0315a,佛說普門品經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1006,T0315b,t0315b,佛說普門品經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1007,T0316,t0316,佛說大乘菩薩藏正法經,,,sutra,sutra,ratnakuta,寶積部,寶積部,40,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法護等譯。
1008,T0317,t0317,佛說胞胎經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1009,T0318,t0318,文殊師利佛土嚴淨經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1010,T0319,t0319,大聖文殊師利菩薩佛剎功德莊嚴經,,,sutra,sutra,ratnakuta,寶積部,寶積部,3,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 不空譯。
1011,T0320,t0320,父子合集經,,,sutra,sutra,ratnakuta,寶積部,寶積部,20,T11,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 日稱等譯。
1012,T0321,t0321,佛說護國尊者所問大乘經,,,sutra,sutra,ratnakuta,寶積部,寶積部,4,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1013,T0322,t0322,法鏡經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安玄譯。
1014,T0323,t0323,郁迦羅越問菩薩行經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1015,T0324,t0324,佛說幻士仁賢經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1016,T0325,t0325,佛說決定毘尼經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 燉煌三藏譯。
1017,T0326,t0326,佛說三十五佛名禮懺文,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 不空譯。
1018,T0327,t0327,發覺淨心經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 闍那崛多譯。
1019,T0328,t0328,佛說須賴經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：曹魏 白延譯。
1020,T0329,t0329,佛說須賴經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：前涼 支施崙譯。
1021,T0330,t0330,佛說菩薩修行經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 白法祖譯。
1022,T0331,t0331,佛說無畏授所問大乘經,,,sutra,sutra,ratnakuta,寶積部,寶積部,3,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護等譯。
1023,T0332,t0332,佛說優填王經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 法炬譯。
1024,T0333,t0333,佛說大乘日子王所問經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法天譯。
1025,T0334,t0334,佛說須摩提菩薩經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1026,T0335,t0335,佛說須摩提菩薩經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 鳩摩羅什譯。
1027,T0336,t0336,須摩提經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 菩提流志譯。
1028,T0337,t0337,佛說阿闍貰王女阿術達菩薩經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1029,T0338,t0338,佛說離垢施女經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1030,T0339,t0339,得無垢女經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 瞿曇般若流支譯。
1031,T0340,t0340,文殊師利所說不思議佛境界經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 菩提流志譯。
1032,T0341,t0341,聖善住意天子所問經,,,sutra,sutra,ratnakuta,寶積部,寶積部,3,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 毘目智仙共般若流支譯。
1033,T0342,t0342,佛說如幻三昧經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1034,T0343,t0343,佛說太子刷護經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1035,T0344,t0344,佛說太子和休經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1036,T0345,t0345,慧上菩薩問大善權經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1037,T0346,t0346,佛說大方廣善巧方便經,,,sutra,sutra,ratnakuta,寶積部,寶積部,4,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1038,T0347,t0347,大乘顯識經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 地婆訶羅譯。
1039,T0348,t0348,佛說大乘方等要慧經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1040,T0349,t0349,彌勒菩薩所問本願經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1041,T0350,t0350,佛說遺日摩尼寶經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 支婁迦讖譯。
1042,T0351,t0351,佛說摩訶衍寶嚴經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1043,T0352,t0352,佛說大迦葉問大寶積正法經,,,sutra,sutra,ratnakuta,寶積部,寶積部,5,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護譯。
1044,T0353,t0353,勝鬘師子吼一乘大方便方廣經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅譯。
1045,T0354,t0354,毘耶娑問經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 瞿曇般若流支譯。
1046,T0355,t0355,入法界體性經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 闍那崛多譯。
1047,T0356,t0356,佛說寶積三昧文殊師利菩薩問法身經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 安世高譯。
1048,T0357,t0357,如來莊嚴智慧光明入一切佛境界經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：元魏 曇摩流支譯。
1049,T0358,t0358,度一切諸佛境界智嚴經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：梁 僧伽婆羅等譯。
1050,T0359,t0359,佛說大乘入諸佛境界智光明莊嚴經,,,sutra,sutra,ratnakuta,寶積部,寶積部,5,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法護等譯。
1051,T0360,t0360,佛說無量壽經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：曹魏 康僧鎧譯。
1052,T0361,t0361,佛說無量清淨平等覺經,,,sutra,sutra,ratnakuta,寶積部,寶積部,4,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：後漢 支婁迦讖譯。
1053,T0362,t0362,佛說阿彌陀三耶三佛薩樓佛檀過度人道經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：吳 支謙譯。
1054,T0363,t0363,佛說大乘無量壽莊嚴經,,,sutra,sutra,ratnakuta,寶積部,寶積部,3,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 法賢譯。
1055,T0364,t0364,佛說大阿彌陀經,,,sutra,sutra,ratnakuta,寶積部,寶積部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 王日休校輯。
1056,T0365,t0365,佛說觀無量壽佛經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 畺良耶舍譯。
1057,T0367,t0367,稱讚淨土佛攝受經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 玄奘譯。
1058,T0368,t0368,拔一切業障根本得生淨土神呪,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：劉宋 求那跋陀羅重譯。
1059,T0369,t0369,阿彌陀佛說呪,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。
1060,T0370,t0370,阿彌陀鼓音聲王陀羅尼經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1061,T0371,t0371,觀世音菩薩授記經,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 曇無竭譯。
1062,T0372,t0372,佛說如幻三摩地無量印法門經,,,sutra,sutra,ratnakuta,寶積部,寶積部,3,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 施護等譯。
1063,T0373,t0373,後出阿彌陀佛偈,,,sutra,sutra,ratnakuta,寶積部,寶積部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1001,T0376,t0376,佛說大般泥洹經,,,sutra,sutra,nirvana,涅槃部,涅槃部,6,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 法顯譯。
1002,T0377,t0377,大般涅槃經後分,,,sutra,sutra,nirvana,涅槃部,涅槃部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 若那跋陀羅譯。
1003,T0378,t0378,佛說方等般泥洹經,,,sutra,sutra,nirvana,涅槃部,涅槃部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1004,T0379,t0379,四童子三昧經,,,sutra,sutra,nirvana,涅槃部,涅槃部,3,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 闍那崛多譯。
1005,T0380,t0380,大悲經,,,sutra,sutra,nirvana,涅槃部,涅槃部,5,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：高齊 那連提耶舍譯。
1006,T0381,t0381,等集眾德三昧經,,,sutra,sutra,nirvana,涅槃部,涅槃部,3,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1007,T0382,t0382,集一切福德三昧經,,,sutra,sutra,nirvana,涅槃部,涅槃部,3,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 鳩摩羅什譯。
1008,T0383,t0383,摩訶摩耶經,,,sutra,sutra,nirvana,涅槃部,涅槃部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：蕭齊 曇景譯。
1009,T0384,t0384,菩薩從兜術天降神母胎說廣普經,,,sutra,sutra,nirvana,涅槃部,涅槃部,7,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 竺佛念譯。
1010,T0385,t0385,中陰經,,,sutra,sutra,nirvana,涅槃部,涅槃部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 竺佛念譯。
1011,T0386,t0386,蓮華面經,,,sutra,sutra,nirvana,涅槃部,涅槃部,2,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：隋 那連提耶舍譯。
1012,T0387,t0387,大方等無想經,,,sutra,sutra,nirvana,涅槃部,涅槃部,6,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：北涼 曇無讖譯。
1013,T0388,t0388,大雲無想經卷第九,,,sutra,sutra,nirvana,涅槃部,涅槃部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 竺佛念譯。
1014,T0389,t0389,佛垂般涅槃略說教誡經,,,sutra,sutra,nirvana,涅槃部,涅槃部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：姚秦 鳩摩羅什譯。
1015,T0390,t0390,佛臨涅槃記法住經,,,sutra,sutra,nirvana,涅槃部,涅槃部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 玄奘譯。
1016,T0391,t0391,般泥洹後灌臘經,,,sutra,sutra,nirvana,涅槃部,涅槃部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1017,T0392,t0392,佛滅度後棺斂葬送經,,,sutra,sutra,nirvana,涅槃部,涅槃部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1018,T0393,t0393,迦葉赴佛般涅槃經,,,sutra,sutra,nirvana,涅槃部,涅槃部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：東晉 竺曇無蘭譯。
1019,T0394,t0394,佛入涅槃密迹金剛力士哀戀經,,,sutra,sutra,nirvana,涅槃部,涅槃部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1020,T0395,t0395,佛說當來變經,,,sutra,sutra,nirvana,涅槃部,涅槃部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1021,T0396,t0396,佛說法滅盡經,,,sutra,sutra,nirvana,涅槃部,涅槃部,1,T12,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：失譯。
1001,T0398,t0398,大哀經,,,sutra,sutra,mahasamnipata,大集部,大集部,8,T13,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1002,T0399,t0399,寶女所問經,,,sutra,sutra,mahasamnipata,大集部,大集部,4,T13,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1003,T0400,t0400,佛說海意菩薩所問淨印法門經,,,sutra,sutra,mahasamnipata,大集部,大集部,18,T13,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：宋 惟淨等譯。
1004,T0401,t0401,佛說無言童子經,,,sutra,sutra,mahasamnipata,大集部,大集部,2,T13,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
1005,T0402,t0402,寶星陀羅尼經,,,sutra,sutra,mahasamnipata,大集部,大集部,10,T13,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：唐 波羅頗蜜多羅譯。
1006,T0403,t0403,阿差末菩薩經,,,sutra,sutra,mahasamnipata,大集部,大集部,7,T13,,,,,CBETA API 自动生成目录条目，等待正式 XML 导入。 署名：西晉 竺法護譯。
