འཕགས་པ་རིན་ཆེན་ཟླ་བས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratna­candra
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་ཡང་རུང་དེའི་མཚན་ཐོས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་ཞིང་ཆོས་རིན་པོ་ཆེ་བླ་ན་མེད་པ་ཡང་ཐོབ་པར་འགྱུར་རོ། ། ||| Any noble son or daughter who hears his name will never turn back from unsurpassed and perfect awakening and will receive the precious and unsurpassed Dharma.
གཞོན་ནུ་དེ་ལྟར་ན་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་ཡང་རུང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྤྱོད་པ་དང་། ཡོན་ཏན་ཕུན་སུམ་ཚོགས་པ་དང་། ཡེ་ཤེས་ཕུན་སུམ་ཚོགས་པ་དང་། ཚུལ་ཁྲིམས་དང་། ཏིང་ངེ་འཛིན་དང་། ཤེས་རབ་དང་། རྣམ་པར་གྲོལ་བ་དང་། རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་གཟིགས་པ་ཕུན་སུམ་ཚོགས་པ་དང་ལྡན་པ་དེ་དག་གི་མཚན་ཐོས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་རོ། ། ||| “Prince, any noble son or daughter who hears the names of these thus-gone, worthy, perfect buddhas, who are endowed with perfect conduct, qualities, wisdom, discipline, absorption, insight, liberation, and the vision of the wisdom of liberation, will never turn back from unsurpassed and perfect awakening.
གཞོན་ནུ་སྔོན་བྱུང་བ་འདས་པའི་དུས་བསྐལ་པ་གྲངས་མེད་པ་བས་ཀྱང་ཆེས་གྲངས་མེད་པ་ཡུན་རིང་པོ་ཚད་མེད་པ་འདས་པ་དེའི་ཚེ་རིན་ཆེན་འབྱུང་གནས་ཞེས་བྱ་བའི་བསྐལ་པ་ཞིག་བྱུང་སྟེ། ||| “Prince, long ago in the past, eons beyond calculation and measure, there was an eon by the name of Ratnākara .
དེར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། ||| In that eon appeared the thus-gone, worthy, perfect buddha Sāgaraśrī.
བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་གདུལ་བའི་ཁ་ལོ་སྒྱུར་བ། བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྒྱ་མཚོའི་དཔལ་ཞེས་བྱ་བ་ཞིག་འཇིག་རྟེན་དུ་བྱུང་སྟེ ||| He was learned and venerable, a blissful one, a knower of the world, a steersman who guides beings, an unexcelled one, a teacher of gods and humans, a blessed buddha.
དེར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བཅུ་པོ་འདི་དག་ཐམས་ཅད་ལྷན་ཅིག་ཏུ་འཐུན་པར་དགེ་བའི་རྩ་བ་བསྐྱེད་དེ། ཟས་དང་། སྐོམ་དང་། བཟའ་བ་དང་། བཅའ་བ་རྣམ་པ་སྣ་ཚོགས་དང་། མེ་ཏོག་དང་། སྤོས་དང་། མེ་ཏོག་ཕྲེང་བ་དང་། བྱུག་པ་དང་། གདུགས་དང་། རྒྱལ་མཚན་དང་། བ་དན་གྱི་རྣམ་པ་དཔག་ཏུ་མེད་གྲངས་མེད་པས་བཅོམ་ལྡན་འདས་དེ་ལ་མཆོད་པ་རྒྱ་ཆེན་པོ་ ||| At that time, these ten thus-gone, worthy, perfect buddhas came together to generate roots of virtue by making boundless and countless grand offerings of food and drink, flowers, incense, flower garlands, lotions, parasols, banners, and flags to that blessed one.
བྱས་ནས་ཐམས་ཅད་ཀྱིས་ལྷན་ཅིག་ཏུ་འཐུན་པར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དེ། ||| Thereby all of them together generated the mind set upon unsurpassed and perfect awakening.
ཐམས་ཅད་ཀྱིས་ཉི་མ་གཅིག་ཏུ་སྐད་ཅིག་ཐང་ཅིག་ཡུད་ཙམ་གཅིག་ལ་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་གྱུར་ཏོ། ། ||| Then, one day, at precisely the same moment, they all achieved acceptance that phenomena are unborn.
དེ་ནས་དེ་དག་གིས་རིམ་གྱིས་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་སྤྱད་ནས། བྱང་ཆུབ་ཀྱི་ཕྱོགས་དང་འཐུན་པའི་ཆོས་རྣམས་ཡོངས་སུ་རྫོགས་པར་བྱས་ཏེ། ||| Thereafter they gradually engaged in bodhisattva conduct and mastered the factors that are conducive for awakening.
སྐད་ཅིག་ཐང་ཅིག་ཡུད་ཙམ་གཅིག་ལ་རང་རང་གི་སངས་རྒྱས་ཀྱི་ཞིང་རྣམས་སུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་སོ། ། ||| Then, at precisely the same moment, they all attained unsurpassed and perfect awakening in each of their respective buddha realms.
སྐད་ཅིག་ཐང་ཅིག་ཡུད་ཙམ་གཅིག་ལ་དེ་དག་གིས་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་ཏོ། ། ||| At precisely the same moment, they all turned the wheel of Dharma.
ཐམས་ཅད་ཀྱི་ཚེའི་ཚད་ཀྱང་མཉམ་མོ། ། ||| They even enjoyed the same lifespan.
གཞོན་ནུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེ་དག་ཐམས་ཅད་ཀྱང་ཉི་མ་གཅིག་ཏུ་སྐད་ཅིག་ཐང་ཅིག་ཡུད་ཙམ་གཅིག་ལ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་འགྱུར་རོ། ། ||| Prince, these thus-gone, worthy, perfect buddhas will also one day enter into complete nirvāṇa at precisely the same moment.”
བཅོམ་ལྡན་འདས་ལ་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་སྲས་ཁྱེའུ་རིན་ཆེན་ཟླ་བས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| “Blessed One, the lifespan of those thus-gone, worthy, perfect buddhas is amazing!
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེ་དག་གི་སྐུ་ཚེའི་ཚད་ནི་ངོ་མཚར་ལགས་ཏེ། ||| Blessed One, out of compassion for sentient beings, those thus-gone ones intentionally live such long lives.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དེ་དག་གིས་ནི་སེམས་ཅན་རྣམས་ལ་ཐུགས་བརྩེ་བའི་སླད་དུ་སྐུ་ཚེའི་ཚད་དེ་ཙམ་དུ་རིང་བ་གཞེས་ལགས་སོ། །བཅོམ་ལྡན་འདས་གཞན་ཡང་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་དེ་བཞིན་གཤེགས་པ་དེ་རྣམས་ཀྱི་སྐུ་ཚེའི་ཚད་འདི་ལ་དེ་བཞིན་དུ་འཛིན་ཅིང་ཡིད་ཆེས་ལ་སྤོང་བར་མི་བགྱིད། འདོར་བར་མི་བགྱིད་པ་དེ་ལ་བསོད་ནམས་ཇི་ཙམ་སྐྱེ་བར་འགྱུར་ལགས། ||| Blessed One, how much merit will noble sons or daughters generate if they keep the lifespan of those thus-gone ones in mind and trust in it without disregarding it or ignoring it?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Buddha replied,
གཞོན་ནུ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་དང་། དེ་བཞིན་གཤེགས་པ་བཅུ་པོ་དེ་དག་གི་སངས་རྒྱས་ཀྱི་ཞིང་དེ་དག་དང་། སངས་རྒྱས་ཀྱི་ཞིང་བཅུ་པོ་རྣམས་ལྷའི་རིན་པོ་ཆེ་སྣ་བདུན་གྱིས་ཡོངས་སུ་བཀང་ནས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ལ་ཉིན་གཅིག་བཞིན་དུ་སྦྱིན་པ་བྱིན་ཏེདེ་ལྟ་བུར་བསྐལ་པ་གྲངས་མེད་པར་སྦྱིན་པ་སྦྱིན་པར་བྱེད་ལ། ||| “Prince, one could fill up this entire trichiliocosm, along with the buddha realms of these ten thus-gone ones and the other buddha realms in the ten directions, with the seven precious substances of the gods and make daily offerings of them to the thus-gone, worthy, perfect buddhas, continuing this daily offering for countless eons.
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་གིས་མཚན་འདི་རྣམས་དང་། སྐུ་ཚེའི་ཚད་འདི་རྣམས་ཐོས་ནས་དེ་བཞིན་དུ་འཛིན་ཅིང་ཡིད་ཆེས་ལ་སྤོང་བར་མི་བྱེད། སྨོད་པར་མི་བྱེད་དེ། ||| On the other hand, a noble son or daughter who has heard about the names and lifespan of these buddhas may keep them faithfully in mind without disregarding or disrespecting them and instead trust and agree with them.
མོས་པར་བྱེད་ཅིང་འཐུན་པར་བྱེད་ན་བསོད་ནམས་ཀྱི་ཕུང་པོ་སྔ་མ་ ||| For that person the heap of merit accrued is far greater than that gathered by the former person.
དེས་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེའི་བརྒྱའི་ཆར་ཡང་མི་ཕོད། སྟོང་གི་ཆ་དང་། དཔེའི་བར་དུ་ཡང་མི་བཟོད་དོ། ། ||| The former does not gather even a hundredth or a thousandth of that. It is, in fact, beyond the scope of illustration.”
དེ་ནས་ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་དང་། མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་། ལྷའི་བུ་དབང་ཕྱུག་དང་། དབང་ཕྱུག་ཆེན་པོ་དང་། དཔལ་ལྡན་ལེགས་དང་། དགའ་ལྡན་དང་། ལྷའི་བུ་ཡོངས་སུ་དགའ་ལྡན་གྱིས་འདི་ལྟར་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་དང་། དེ་བཞིན་གཤེགས་པ་བཅུ་པོ་དེ་རྣམས་ལ་མཆོད་པ་བྱ་བའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་ལ་ལྷའི་མེ་ཏོག་དང་། ཙན་དན་གྱི་ཕྱེ་མས་གཏོར། མངོན་པར་གཏོར། མངོན་པར་རབ་ཏུ་གཏོར་ཏོ། ། ||| Then, in order to venerate this teaching and the ten thus-gone ones, Śakra king of the gods, Brahmā lord of the Enduring world, the Four Great Kings, and the divine sons Īśvara, Maheśvara, Glorious Fortune, Tuṣita, and Santuṣita scattered divine flowers and sandalwood powder upon the Thus-Gone One.
ཚིག་འདི་སྐད་ཅེས་ཀྱང་སྨྲས་ཏེ། ||| Then they spoke these words:
བཅོམ་ལྡན་འདས་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་དག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཛིན་པ་དང་། འཆང་བ་དང་། ཀློག་པ་དང་། རྗོད་པར་བགྱིད་པ་དེ་དག་ནི་ཕྱག་བགྱི་བའི་འོས་ལགས་སོ། ། ||| “Blessed One, any noble son or daughter who retains, carries, reads, and recites this teaching is worthy of reverence.
བཅོམ་ལྡན་འདས་ཐ་ན་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་གང་དག་གིས་སུག་པ་ན་མཆིས་པ་དེ་དག་ནི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་བ་ལགས་སོ། ། ||| Blessed One, merely holding this teaching in their hand, they will never turn back from unsurpassed and perfect awakening.
བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་དག་གི་རྣ་ལམ་དུ་གྲགས་པར་འགྱུར་བ་དེ་དག་ནི་བདུད་སྡིག་ཅན་གྱི་དབང་དུ་མཆིས་པར་མི་འགྱུར་ལགས་སོ། ། ||| Blessed One, any noble son or daughter who hears this teaching will not fall under the sway of the evil Māra.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་སྲས་ཁྱེའུ་རིན་ཆེན་ཟླ་བས་ཚིགས་སུ་བཅད་པས་གསོལ་པ། ||| At that point Prince Ratna­candra, son of King Bimbisāra, addressed the following verses to the Blessed One:
ཕུང་པོ་མེད་པ་བཅོམ་ལྡན་འདས། ། ||| “Blessed One, you are beyond the aggregates!
ཁྱོད་ཀྱིས་ལེགས་གསུངས་དཔག་ཏུ་མེད། ། ||| Your eloquent teachings are beyond measure.
བདག་དང་ལྷར་བཅས་འཇིག་རྟེན་རྣམས། །ཁྱོད་ཀྱིས་འདི་ལ་ཡི་རང་ངོ་། ། ||| I and the entire world, along with its gods, Rejoice in the teachings you have given.
འཇིག་རྟེན་མགོན་པོ་འདས་པ་ན། །གང་དག་ད་དུང་མ་བྱོན་དང་། །ཕྱོགས་རྣམས་མ་ལུས་གང་བཞུགས་པའི། །སངས་རྒྱས་རྣམས་ལ་སྐྱབས་སུ་མཆིས། ། ||| “We take refuge in the world protectors Who have passed, who are yet to come, And in the buddhas who are present, Residing in all directions.
སངས་རྒྱས་རྣམས་ཀྱི་ཡུལ་གཅིག་པ། །ཆོས་དང་དགེ་འདུན་ཞི་བའི་མཆོག ། ||| “Of common purpose with all the buddhas, The Dharma and Saṅgha are the utmost peace.
ཡོན་ཏན་ལེགས་པར་བསམ་མི་ཁྱབ། ། ||| Their perfect qualities are inconceivable.
དགེ་འདུན་ལ་ཡང་སྐྱབས་སུ་མཆིས། ། ||| We take refuge in the Saṅgha too.
བྱང་ཆུབ་སེམས་དཔའ་འཇིགས་པ་མེད། །གང་དག་བཟོད་ལ་རབ་གནས་ཤིང་། །གང་དག་གཟུངས་ལ་གནས་པ་དང་། །གང་དག་མཚུངས་མེད་སྟོང་ཉིད་ཚུལ། ། ||| “The fearless bodhisattvas Are stable in patience, Grounded in recall, And maintain incomparable emptiness.
མཚན་ཉིད་ཀྱི་ནི་མདོ་སྡེ་དང་། །བྱང་ཆུབ་རྒྱུར་འགྱུར་སྡེ་སྣོད་དང་། །འཐུན་པར་འཇུག་པའི་མདོ་སྡེ་ལ། ། ||| “These bodhisattvas train well In the sūtras of characteristics, The scriptures that lead to awakening, And the sūtras that conform to both.
ལེགས་བསླབས་བྱང་ཆུབ་སེམས་རྣམས་ལྟར། །ཐུབ་པ་བདག་ནི་བྱང་ཆུབ་ཀྱི། །སྤྱད་པ་སྤྱོད་ཅིང་སློབ་པར་འཚལ། ། ||| “Sage, like them, we too wish to train In the conduct of awakening.
རང་བྱུང་དེ་དག་ཇི་བཞིན་དུ། །ཞིང་གི་བཀོད་པ་རྣམ་དག་དང་། ། ||| You have taught about those naturally arisen ones, The pure arrangement of their realms,
སྤྱོད་དང་སྤྱོད་ཡུལ་ཏིང་འཛིན་དང་། །དེ་དག་གི་ནི་ཡོན་ཏན་དང་། །དྲང་སྲོང་མཆོག་རྣམས་སྐུ་ཚེའི་ཚད། ། ||| “And their practices, domains, and absorptions, As well as their qualities And the lifespan of these supreme sages.
གསུངས་པ་གང་ལགས་རྫོགས་པར་བགྱི། ། ||| Now I too will accomplish these qualities.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལྷའི་བུ་དེ་དག་དང་། རིན་ཆེན་ཟླ་བ་གཞོན་ནུར་གྱུར་པ་ལ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ནས་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One commended the gods and Ratna­candra, and addressed them with the following verses:
འཇིག་རྟེན་མགོན་པོ་དེ་རྣམས་ཀྱི། །མཚན་ནི་གང་ཞིག་འཛིན་བྱེད་པ། །མ་འོངས་དུས་ན་དེ་དག་ཀུན། །རྐང་གཉིས་རྣམས་ཀྱི་མཆོག་ཏུ་འགྱུར། ། ||| “All who recall the names Of these protectors of the world Will, in future times, Become supreme among humans.
ང་ཡིས་ཇི་སྐད་གསུངས་པ་བཞིན། །དྲང་སྲོང་མཆོག་བཞུགས་དེ་དག་ལྟར། །དེ་དག་ཚེ་ཡང་བསྐལ་པ་ནི། །བྱེ་བ་བསམ་ཡས་སྙེད་དུ་འགྱུར། ། ||| “They too will live For inconceivably many millions of eons, Like the lifespan of these supreme sages, Which I have just described.
གང་ཞིག་སྐྱོབ་པ་དེ་དག་གི ། མཚན་འདི་དག་ནི་འཛིན་འདི་ལ། །མེ་དང་ཆོམ་རྐུན་དུག་རྣམས་དང་། །མཚོན་གྱིས་ཚུགས་པར་མི་འགྱུར་རོ། ། ||| “Those who recall the names Of these protectors Will be unharmed by fire, bandits, Poison, and weapons.
མཚན་འདི་དག་ནི་འཛིན་བྱེད་ན། །ཆུ་ཆེན་དག་གིས་དེ་མི་འཆི། །རྒྱལ་པོའི་གནོད་པས་མ་ཡིན་ཏེ། །དེ་ནི་ནམས་ཀྱང་ཆོས་མི་སྤོང་། ། ||| “Whoever recalls the names of these buddhas Will never drown in rivers, Will never be subject to royal punishment, And will never forsake the Dharma.
མཚན་མོ་ཐུན་ཚོད་དང་པོ་དང་། །གུང་དང་ཐ་མའང་དེ་བཞིན་ཏེ། ། ||| In the first watch of the night And in the middle and last watches as well.
དུས་གསུམ་དག་ཏུ་མཚན་སྒྲོགས་དང་། ། ||| “Recite these names at three times:
དྲང་སྲོང་མཆོག་ནི་དེ་དག་གི། །མཚན་རྣམས་སྔ་དྲོ་སྒྲོགས་བྱེད་ཅིང་། །ཉི་མའི་གུང་ལ་སྒྲོགས་བྱེད་དང་། །མཁས་པ་ནུབ་ཀར་སྒྲོགས་བྱེད་པ། །རྨི་ལམ་བཟང་པོ་མཐོང་བར་འགྱུར། ། ||| Wise ones who recite the names “Of these supreme sages In the morning, at noon, And in the evening Will have good dreams.
མཚན་རྣམས་བཟུང་ནས་དེ་འོག་ཏུ། །བསྐལ་པ་བྱེ་བ་སྟོང་རྣམས་སུ། །སྔོན་ཆད་སྡིག་པ་ཅི་བསགས་པ། །མི་དགེ་ཐམས་ཅད་བཤགས་པར་བྱ། ། ||| “Next, having recalled these names, One must confess all the negative deeds One has committed Over the course of billions of eons.
དེ་ཡིས་ལུས་ངག་ཡིད་ཀྱི་ལས། །མི་དགེ་གང་དག་བྱས་གྱུར་ན། །མཚན་རྣམས་བཟུང་ནས་དེ་འོག་ཏུ། །ཉེས་བྱས་དེ་ཡང་བཤགས་པར་བྱ། ། ||| “Any negative deed committed By way of body, speech, and mind After one has recalled these names Must also be confessed.
ཡན་ལག་ལྔ་ཡིས་གཏུགས་ནས་ནི། །རྒྱལ་རྣམས་བྱང་ཆུབ་སྔོན་རོལ་དུ། །དུས་གསུམ་དགེ་བ་ཅི་བསགས་པ། །དེ་ཀུན་རྗེས་སུ་ཡི་རང་བྱ། ། ||| “Touching one’s five points to the ground, One should rejoice in the merit Of all the wholesome deeds accumulated By the victors prior to awakening.
འཇིག་རྟེན་རྩ་ལག་རྣམས་ཀྱིས་ནི། །བྱང་ཆུབ་བརྙེས་ནས་ཆོས་གསུངས་དང་། །ལུས་ཅན་གང་དག་འཇིག་རྟེན་གྱི། །མགོན་པོ་རྣམས་ལ་མཆོད་བྱེད་པ། ། ||| “Having attained awakening, The kinsmen of the world taught the Dharma, And all beings made offerings To the protectors of the world.
དེ་ལ་རྒྱལ་བའི་སྲས་རྣམས་ཀྱིས། །ཉིན་མཚན་དུས་གསུམ་ཡི་རང་བྱ། ། ||| “The children of the victors should rejoice in them Three times during the day and night.
དེས་ན་བདག་གཞན་དོན་བྱེད་པའི། །ཕ་རོལ་ཕྱིན་པ་རྫོགས་པར་འགྱུར། ། ||| In this way the perfections that benefit self and others Shall be accomplished.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ||| When the Blessed One had spoken these words,
རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་སྲས་ཁྱེའུ་རིན་ཆེན་ཟླ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་། དགེ་སློང་དེ་དག་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་ཡི་རངས་ཏེ་མངོན་པར་བསྟོད་དོ། ། ||| the youth Ratna­candra, son of King Bimbisāra, along with all the bodhisattvas, monks, gods, humans, asuras, and gandharvas, rejoiced in the Buddha’s teaching and offered praise.
འཕགས་པ་རིན་ཆེན་ཟླ་བས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This completes the noble Great Vehicle sūtra “ The Questions of Ratna­candra .”
རྒྱ་གར་གྱི་མཁན་པོ་བི་ཤུདྡྷ་སིང་ཧ་དང་། ལོཙྪ་བ་བནྡེ་དགེ་བ་དཔལ་གྱིས་བསྒྱུར། ||| The Indian scholar Viśuddha­siṃha and the translator Venerable Gewa Pal translated this.
རྒྱ་གར་གྱི་མཁན་པོ་པིདྱཱ་ཀ་ར་སིདྷ་དང་། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བནྡེ་དེ་བ་ཙན་དྲས་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།། ||| Later, the Indian scholar Vidyākara­siṃha and the editor-translator monk Devacandra edited and finalized it.
