ལས་ཀྱི་རྣམ་པར་འགྱུར་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་གཞུང་། བམ་པོ་གཅིག་གོ། ། ||| The Dharma Scripture “Exposition of Karma” in one fascicle
དགེ་བའི་རྩ་བ་ལས་བྱས་ལ་དེས་བདག་ཅིར་སྨོན་ལམ་བཏབ་པ་དང་། ||| Having carried out actions based on the roots of wholesome states, one dedicates them to whichever rebirth location one has aspired to;
མཚམས་མེད་པའི་སྡིག་ལས་བྱས་པ་དེ་ལྟ་བུ་ནི་ལས་ཀྱིས་བཞིན་མི་འགྱུར་བར་སྐྱེ་བར་འོང་ངོ་། ། ||| or one commits the evil actions that bring immediate karmic retribution. In these ways, one’s rebirth will have the nature of being predetermined.
ཇི་ལྟར་ལས་ཀྱིས་འགྱུར་བར་སྐྱེ་ཞེ་ན། ||| “How can rebirth be changed through action?
སུས་དགེ་བའི་ལས་བྱས་ནས་སྨོན་ལམ་བཏབ་པ་ནི་ལས་དེས་འགྱུར་ཞིང་སྐྱེ་བར་འོང་ངོ་། ། ||| A person carries out a virtuous action and makes an aspiration prayer—by virtue of this action, that person’s rebirth destiny can be changed.
ཇི་ལྟར་ལས་ཀྱིས་གང་ཡུལ་གཞན་དུ་སྐྱེ་བར་འགྱུར་ཞེ་ན། ||| “How does action cause a person to be reborn in another country?
སངས་རྒྱས་ཀྱང་རུང་། ཆོས་ཀྱང་རུང་། དགེ་འདུན་ཀྱང་རུང་། ཚུལ་ཁྲིམས་ཐུབ་པའི་གང་ཟག་ཀྱང་རུང་སྟེ། དེ་ལ་ཤིན་ཏུ་དད་པར་བསམས་ནས་བྱིན་པས་ཡུལ་གཞན་དུ་སྨོན་ལམ་བཏབ་པ་དང་། ||| After one has contemplated with strong faith either the Buddha, the Dharma, the Saṅgha, or any person who possesses moral discipline, [879] one makes an offering and prays to be reborn in another country.
ལས་གང་བྱས་ཀྱང་རུང་སྟེ། བཟང་པོ་དང་། ངན་པ་གར་འགྱུར་བ་ནི་འདི་ལྟ་སྟེ། དཔེར་ན་ཚོང་པ་བཞིན་ཏེ། ལས་དེ་ལྟ་བུས་ཡུལ་གཞན་དུ་སོང་ནས་རྣམ་པར་སྨིན་པར་འགྱུར་རོ། ། ||| According to whatever [other] actions one has committed, their good or bad [karmic results] are exemplified in the story of the merchant: his actions ripened after he had traveled to a foreign country.
ཇི་ལྟར་ལས་ཀྱིས་མ་བསམས་པར་བྱས་པ་གང་ཞེ་ན། ||| “What kind of action is considered to be carried out without intent?
ལས་བྱས་ནས་འགྱོད་པ་དང་། ||| Having carried out an action, one feels remorse,
ཁྲེལ་གྱིས་དོགས་པ་དང་། ཉེས་པར་སེམས་པ་དང་། མི་རིགས་པ་དང་། འཆགས་པ་དང་། ||| is conscience stricken, thinks that one has made a mistake and that it was wrong, and confesses;
ཡལ་བར་མི་གཏོང་བ་དང་། སླར་མི་འཇུག་པ་དང་། ད་ཕྱིན་ཅད་མི་བྱེད་པར་དམ་འཆའ་བ་དང་། ||| one does not give up effacing it, one does not engage in it again, and one vows not to do it again in the future.
འདི་ལྟ་བུའི་ལས་ནི་མ་བསམས་པར་བྱས་པའོ། ། ||| This kind of action is considered to be carried out without intent.
ཇི་ལྟར་ལས་བསམས་ལ་མ་བྱས་པ་གང་ཞེ་ན། ||| “What kind of action is considered to be intended but not carried out?
ལུས་ཀྱིས་མ་བྱས་པ་དང་། སེམས་རྒྱུས་ཤིང་ལས་འདི་བྱའོ་ཞེས་ཁར་སྨྲས་ལ་མ་བྱས་པ་དེ་ལྟ་བུའི་ལས་ནི་བསམས་ཏེ་མ་བྱས་པའོ། ། ||| An action was not physically carried out if, when the thought welled up and at that moment one said, ‘I will do this,’ one did not carry it out. This kind of action is considered to be intended but not carried out.
ཇི་ལྟར་ལས་བསམས་ཏེ་བྱས་པ་གང་ཞེ་ན། ||| “What kind of action is considered to be intended and carried out?
ལས་གང་བྱས་ཀྱང་རུང་སྟེ་མི་འགྱོད་པ། ཁྲེལ་གྱིས་མི་དོགས་པ་ཉེས་པར་མི་སེམས་པ། མི་འཆགས་པ། ཡལ་བར་གཏོང་བ། སླར་འཇུག་པ། ཕྱིན་ཅད་མི་བྱེད་པར་དམ་མི་འཆའ་བའོ། ། ||| Whatever action one has carried out, one does not feel remorse, is not conscience stricken, does not think that it was a mistake, does not confess, does not try to efface it, engages in it again, and does not vow to not do it again in the future.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་སེམས་ཅན་ལས་དམྱལ་བར་སྐྱེས་ཏེ། སེམས་ཅན་དམྱལ་བའི་ཚེ་ཀུན་རྫོགས་ནས་སྐྱེ་བའི་ལམ་ཡིན་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person who has been born in a hell realm to be reborn again as a hell being after completion of the full lifespan of the hell realm?
གང་ཟག་སུ་ཡང་རུང་སྟེ། སེམས་ཅན་དམྱལ་བའི་ལས་བསམས་ཏེ་བྱས་ནས། ||| Suppose one has carried out an intentional action that leads to rebirth in hell, and
དེས་ཀྱང་མི་འགྱོད་པ་ཁྲེལ་གྱིས་མི་དོགས་པ་དང་། ཉེས་པར་མི་སེམས་པ། མི་རིགས་པར་མི་སེམས་པ། མི་འཆགས་པ། ཡལ་བར་གཏོང་བ། སླར་ངན་དུ་འཇུག་པ། ཕྱིན་ཆད་བྱེད་པར་དམ་འཆའ་བ། ||| one does not feel remorse, is not conscience stricken, does not consider one’s action a mistake, does not consider it inappropriate, does not confess, does not try to efface it, engages again in this evil action, even vows to commit this action again in the future,
དེ་ལྟ་བུའི་ལས་ལ་དགའ་བ་དེ་ལྟ་བུ་ལ་སྨོན་པ། ||| rejoices in this action, and admires such action.
དེ་ལྟ་བུའི་ལས་འདུས་པའི་གང་ཟག་སེམས་ཅན་དམྱལ་བར་སྐྱེས་ཏེསེམས་ཅན་དམྱལ་བའི་ཚེ་ཀུན་རྫོགས་ནས་སླར་སྐྱེའོ། ། ||| A person who has accumulated such an action will be reborn in the hell realm, and after completion of the full lifespan of the hell realm, [880] will again be reborn in hell.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་སེམས་ཅན་དམྱལ་བར་སྐྱེས་ཏེ་སེམས་ཅན་དམྱལ་བའི་ཚེ་ཕྱེད་ཟད་ནས་སླར་སྐྱེ་བའི་ལས་གང་ཡིན་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person who has been born in a hell realm to be reborn again as a hell being after only half of the lifespan in that hell has elapsed?
གང་ཟག་སུ་ཡང་རུང་། སེམས་ཅན་དམྱལ་བའི་ལས་བྱས་ནས། ||| Suppose one has carried out an action that leads to rebirth in hell, but
འགྱོད་པ། ཁྲེལ་གྱིས་དོགས་པ། ཉེས་པར་སེམས་པ། མི་རིགས་པར་སེམས་པ། འཆགས་པ། ཡལ་བར་མི་གཏོང་བ་སླར་ངན་དུ་མི་འཇུག་པ། ཕྱིན་ཅད་མི་བྱེད་པར་དམ་འཆའ་བ་ ||| one feels remorse, is conscience stricken, and thinks that one has made a mistake and that it was wrong; and one confesses, does not give up effacing it, does not engage in this evil action again, and vows not to commit this action again in the future.
འདི་ལྟ་བུའི་ལས་འདུས་པའི་གང་ཟག་ནི་སེམས་ཅན་དམྱལ་བར་སྐྱེ་སྟེསེམས་ཅན་དམྱལ་བའི་ཚེ་ཕྱེད་ཟད་ནས་སླར་སྐྱེའོ། ། ||| While one who has accumulated this kind of action will be reborn as a hell being, one will subsequently take rebirth after only half the lifespan in that hell has elapsed.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་སེམས་ཅན་དམྱལ་བར་སྐྱེས་མ་ཐག་ཏུ་སླར་སྐྱེ་བའི་ལས་གང་ཡིན་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person who has been born in a hell realm to be reborn immediately upon rebirth in the hells?
གང་ཟག་སུའང་རུང་སྟེ། སེམས་ཅན་དམྱལ་བའི་ལས་བསམས་ཏེ་བྱས་ནས་ ||| Suppose one has carried out an intentional action that leads to rebirth in hell, but
ལས་དེ་བྱས་པ་དང་འགྱོད་པ། ཁྲེལ་གྱིས་དོགས་པ། ཉེས་པར་སེམས་པ། མི་རིགས་པར་སེམས་པ། འཆགས་པ། ཡལ་བར་མི་གཏོང་བ། སླར་ངན་དུ་མི་འཇུག་པ། ཕྱིན་ཅད་མི་བྱེད་པར་དམ་འཆའ་བ། ||| one feels remorse, is conscience stricken, thinks that one has made a mistake and that it was wrong; and one confesses, does not give up effacing it, does not engage in this evil action again, and vows not to commit it again in the future;
དེ་ལྟ་བུའི་ལས་ལ་ཕྱིས་མི་དགའ་ཞིང་མི་སྨོན་པ་སྤོང་ཞིང་གཏོང་བ། ཕྱིས་ཤིན་ཏུ་མི་དགའ་བའི་ཡིད་སྐྱོད་པ་ ||| and later, one is unhappy about having carried out such an action, dispenses with, shuns, and renounces this action, and arouses an intense sense of renunciation.
འདི་ལྟ་བུའི་ལས་འདུས་པའི་གང་ཟག་ནི་སེམས་ཅན་དམྱལ་བར་སྐྱེས་མ་ཐག་ཏུ་སླར་སྐྱེས་ཏེ། དེ་ནི་རྒྱལ་པོ་མ་སྐྱེས་དགྲ་བཞིན་ནོ། ། ||| The person who has accumulated such an action will take rebirth immediately upon being born into the hell realm, as did King Ajātaśatru, for example.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་སྔར་བདེ་ལ་ཕྱིས་མི་བདེ་བའི་ལས་གང་ཡིན་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person to be happy at first, and become unhappy later?
གང་ཟག་སུའང་རུང་སྟེ་སྦྱིན་པ་བྱིན་ཡང་ཡི་རངས་བཞིན་དུ་མ་བྱིན། ||| Suppose one makes a donation but does not give joyfully.
དགའ་ཞིང་བདེ་བ་ཡིད་དུ་མ་བྱས། བྱིན་ནས་ཕྱིས་འགྱོད་པར་སེམས་པ། ||| By failing to make one’s mind happy and joyful, one feels regret after having given.
གང་ཟག་དེ་ལྟ་བུ་མིར་སྐྱེས་ན་ཡང་ཕྱུག་པོའི་རིགས་སུ་སྐྱེ་སྟེ་ ||| Then, when one is reborn as a human, one will be born into a wealthy family,
ནོར་མང་པོ་དང་། སྤྱོད་པ་མང་པོ་དང་། མང་པོའི་ཇོ་བོར་འགྱུར་ཏེབློན་པོ་དང་། གྲོགས་པོ་དང་། གཉེན་དང་། རིགས་གཅིག་པ་མང་དུ་བདོག་པ་དང་། ||| richly endowed with wealth and possessions. Having become an important person of high rank, one will have many ministers, assistants, relatives, and clan members; [881] one will have many possessions;
མཛོད་དང་བང་བ་ཀུན་ཀྱང་གང་བ། ||| and one’s treasury and granary will always be well filled.
ཤིན་ཏུ་བདེ་ཞིང་བཞོན་པ་མང་པོ་དང་ལྡན་པ་དེ་ལྟ་བུ་ནི་སྐྱིད་པ་ཀུན་སྤྱོད་དེ་ཕྱིས་དམས་པ་དང་། ཟད་པར་འགྱུར་ཏེ་ ||| One will be happy and possess many mounts and carriages. Throughout, one is enjoying happiness, but later it diminishes and is exhausted.
མི་བདེ་བར་སོང་བ་ལས་འདི་ལྟ་བུ་འདུས་པའི་གང་ཟག་ནི་སྔར་བཙན་ཕྱུག་ཅིང་བདེ་ཡང་ཕྱིས་བཀྲེས་ཤིང་དམས་པས་མི་བདེ་བར་འགྱུར་རོ། ། ||| Having thus arrived at unhappiness, the person who has accumulated such an action consequently is powerful, wealthy, and happy at first; but later, weakened by hunger, becomes unhappy.
ཇི་ལྟར་གང་ཟག་ལས་འདུས་པས་སྔར་མི་བདེ་བ་ལ་ཕྱིས་བདེ་བར་འགྱུར་བའི་ལས་ཀྱི་འབྲས་བུ་ནི་གང་ཡིན་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person to be unhappy at first, and happy in the future as a karmic result?
གང་ཟག་སུ་ཡང་རུང་སྟེ། སྦྱིན་པ་སྔར་མ་དད་པར་བྱིན་ནས་དད་ཅིང་རངས་པའི་སེམས་ཕྱིས་སྐྱེས་པའི་གང་ཟག་དེ་ནི་མིར་སྐྱེས་ན་ཡང་དབུལ་པོའི་རིགས་སུ་སྐྱེ་སྟེ། ||| Suppose one makes an offering without faith at first, but later one’s mind grows faithful and one feels elated. If one is reborn as a human, one will be born into a poor family.
ཟས་དང་སྤྱོད་པ་ཉུང་བ། ཉོན་མོངས་ཤིང་ཟས་དང་གོས་མེད་པ་ལས་ཕྱིས་བཙན་ཕྱུག་ཅིང་སྐྱིད་པར་གྱུར་ཏེ། ཅིའང་འཕེལ་ཏེ། ||| Food and possessions will be scarce. From a state of being distressed and without food and clothing, one will later become powerful, wealthy, and happy, and everything will increase.
ཅིས་ཀྱང་མི་བྲེལ་བར་འགྱུར་བ་འདི་ལྟ་བུའི་གང་ཟག་ནི་སྔར་མི་བདེ་ལ་ཕྱིས་བདེ་བར་གྱུར་པའོ། ། ||| A person who has thus come to lack nothing is unhappy at first but becomes happy in the future.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུར་གྱུར་པས་སྔར་ཀྱང་བདེ་ལ་ཕྱིས་ཀྱང་བདེ་བར་འགྱུར་བའི་ལས་གང་ཡིན་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person to be happy at first, and happy in the future?
གང་ཟག་སུའང་རུང་སྟེ་སྦྱིན་པ་བྱིན་པ་ཡང་མང་པོ་དང་རངས་པར་བྱིན། ||| Suppose that one makes a lavish offering and gives it joyfully, and
བདག་ཀྱང་ཡིད་དགའ་སྟེ་བྱིན་པས་ཕྱིས་མི་འགྱོད་པའི་གང་ཟག་དེའི་འབྲས་བུ་ནི་མིར་སྐྱེས་ན་ཡང་ཕྱུག་པའི་རིགས་སུ་སྐྱེས་ཏེ། ||| that because of giving, one’s own mind becomes happy, and one does not have regrets later. The karmic fruit for one such as this, if reborn as human, is that one will be born into a wealthy family and
ནོར་མང་པོ་སྤྱོད་པ་དང་། མང་པོའི་ཇོ་བོར་གྱུར་ནས་བློན་པོ་དང་། གྲོགས་པོ་དང་། གཉེན་དང་རིགས་གཅིག་པ་མང་དུ་བདོག་པ་དང་། བང་མཛོད་ཐམས་ཅད་ཀྱང་གང་བ། ||| enjoy abundant wealth. After becoming an important person of high rank, one will have many ministers, assistants, relatives, and clan members; one will have plentiful possessions, and the granary will always be full.
ཤིན་ཏུ་བདེ་ཞིང་བཞོན་པ་མང་པོ་དང་། ||| One will be profoundly happy and possess many mounts and carriages.
དེ་ལྟ་བུའི་རིགས་སུ་སྐྱེ་སྟེསྐྱིད་པ་དེ་ལྟ་བུའི་ཕྱིར་སྐྱེ་ཞིང་འཕེལ་བར་འགྱུར་ཏེ། ||| Born in such a family, happiness of that kind will arise and increase.
གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་སྔར་ཡང་བདེ། ཕྱིས་ཀྱང་བདེ་བར་འགྱུར་རོ། ། ||| Therefore, a person, by accumulating such an action, will be happy at first, and in the future.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་སྔར་མི་བདེ་ལ་ཕྱིས་ཀྱང་མི་བདེ་བར་འགྱུར་བའི་ལས་ཀྱི་འབྲས་བུ་ནི་གང་ཡིན་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person to be unhappy at first, and unhappy in the future as a karmic result? [882]
གང་ཟག་སུ་ཡང་རུང་སྟེ། དགེ་བའི་གྲོགས་པོ་སྤངས་པ་ཡིན། ||| Suppose one has abandoned one’s virtuous friend,
སུས་ཀྱང་སྦྱིན་པ་ལ་མ་བཅུག་པ་ཡིན། ||| no one at all has encouraged one to engage in generosity, and
བདག་ཉིད་ཀྱིས་ཀྱང་གཞན་ལ་སྦྱིན་པ་མ་བྱས་པ་ཡིན་པའི་གང་ཟག་དེ་ལྟ་བུ་ནི་མིར་སྐྱེས་ན་ཡང་དབུལ་པོ་བཀྲེས་པ་དང་། ཟས་སྐོམ་གྱིས་ཕོངས་པ། གོས་རྒྱབ་ཀྱིས་ཕོངས་ཤིང་བྲེལ་ཏེ། ||| one also has not made any offerings to others on one’s own accord. If one such as this is reborn as a human, one will be poor and famished, lacking food and drink, lacking clothing, and
ཉོན་མོངས་བཞིན་དུ་འཚོ་བ་དང་། ཟས་སྐོམ་དང་། གོས་རྒྱབ་ཀྱིས་མི་འཚོ་བ་དང་། ཕྱིས་ཀྱང་དེ་ལས་སྐྱིད་ཅིང་སྤྱོད་པ་འཕེལ་བར་འགྱུར་བ་ཡང་མེད་དེ། ||| therefore living in distress, or one will live without food, drink, or clothing. Also, in the future, due to those conditions one will not become happy or enjoy an increase in resources.
གང་ཟག་ལས་དེ་ལྟ་བུ་འདུས་པས་ན་སྔར་ཡང་མི་བདེ། ཕྱིས་ཀྱང་བདེ་བར་མི་འགྱུར་རོ། ། ||| One who has accumulated such an action will not be happy at first and will also be unhappy in the future.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ཕྱུག་ལ་སེར་སྣ་ཅན་དུ་བྱེད་པར་འགྱུར་བའི་ལས་ཀྱི་འབྲས་བུ་གང་ཡིན་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person to be stingy although being wealthy as a karmic result?
གང་ཟག་སུ་ཡང་རུང་སྟེ་སྦྱིན་པའི་གནས་ལ་ཅི་ཡང་བུངས་མི་ཆེ་ཞིང་ཉུང་ངུ་བྱིན་པ་ཡིན། ||| Suppose one is not at all magnanimous toward worthy recipients of offerings and offers only a small amount;
གཏོང་བ་ལ་ནི་བསྲི་ཞིང་གོམས་པར་བྱས་པས་གང་ཟག་དེ་མིར་སྐྱེས་ན་ཡང་ཕྱུག་པོའི་རིགས་སུ་སྐྱེ་སྟེ། ||| through being parsimonious when giving, while nonetheless making it a habit, one will be born in a wealthy family.
ནོར་དང་སྤྱོད་པ་མང་པོ་ཡོད་ཀྱང་སེར་སྣ་བྱེད་པར་འགྱུར་ཏེ། ||| Although one will have at one’s disposal extensive wealth and many possessions, one will be stingy.
དེ་ལྟ་བུའི་ལས་འདུས་པའི་གང་ཟག་ནི་ཕྱུག་ལ་སེར་སྣ་ཆེ་བ་ཡིན་ནོ། ། ||| A person who has accumulated such an action will, although wealthy, be very stingy.
ཇི་ལྟར་ཕྱུག་ལ་གཏོང་ཕོད་པའི་ལས་ཀྱི་འབྲས་བུ་ནི་གང་ཞེ་ན། ||| “What kind of action leads a person to be wealthy and generous as a karmic result?
གང་ཟག་སུ་ཡང་རུང་སྟེ། སྦྱིན་པའི་གནས་ལ་མང་དུ་བྱིན་ཞིང་། སྦྱིན་པ་ཕྱིར་ཞིང་གོམས་པར་བྱས་པ་ཡིན་ཏེ། ||| Suppose one offers lavishly and has developed the habit of making very a large offering to a worthy recipient of offerings.
གང་ཟག་དེ་མིར་སྐྱེས་ན་ཡང་ཕྱུག་པོའི་རིགས་སུ་སྐྱེ་སྟེ། ||| If one is reborn as a human, one will be reborn into a wealthy family;
ཟས་དང་སྤྱོད་པས་འཚོ་ཞིང་གཏོང་བ་ཡིན་ཏེ། ||| one can lead a life of abundance in food and possessions, and one will be a generous person.
ལས་དེ་ལྟ་བུ་འདུས་པ་ནི་ཕྱུག་ལ་གཏོང་ཕོད་པའོ། ། ||| The accumulation of such an action leads to being wealthy and generous.
ཇི་ལྟར་ན་དབུལ་ལ་གཏོང་ཕོད་པའི་ལས་ཀྱི་འབྲས་བུ་ཡིན་ཞེ་ན། ||| “What kind of action leads a person to be poor and generous as a karmic result?
གང་ཟག་སུ་ཡང་རུང་། སྦྱིན་པའི་གནས་མ་ཡིན་པ་ལ་མང་དུ་བྱིན་ཡང་སྦྱིན་པ་ཕྱིར་ཞིང་གོམས་པར་བྱས་པ་ཡིན་པས་གང་ཟག་དེ་མིར་སྐྱེས་ན་ཡང་དབུལ་པོའི་རིགས་སུ་སྐྱེ་སྟེ། ||| Suppose one offers lavishly and has made it a habit to make a large offering to those who are not worthy recipients of offerings. If one is reborn as a human, one will be reborn into a poor family,
ཟས་དང་སྤྱོད་པས་མི་འཚོ་ཞིང་ཉོན་མོངས་ནས་སྡུག་ཅིང་གོས་ཟས་ཀྱིས་མི་འཚོ་ཡང་གཏོང་བ་ཡིན་ཏེ། ||| will not be able to lead a life of abundance in food and possessions, and will suffer hardship. [883] But even though one does not have enough clothing or food to provide for one’s own life, one is generous.
ལས་དེ་ལྟ་བུ་འདུས་པའི་གང་ཟག་ནི་དབུལ་ལ། གཏོང་ཕོད་པའོ། ། ||| A person who has accumulated such an action will be poor and generous.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་དབུལ་ལ་སེར་སྣ་བྱེད་པའི་ལས་སུ་གྱུར་པ་ཡིན་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person to be poor and stingy?
གང་ཟག་སུ་ཡང་རུང་། དགེ་བའི་གྲོགས་པོ་སྤངས་པ་སུས་ཀྱང་སྦྱིན་པ་ལ་མ་བཅུག་པ་ཡིན། ||| Suppose one has abandoned one’s virtuous friend, no one at all has encouraged one to engage in generosity, and
ཉིད་ཀྱིས་ཀྱང་སྦྱིན་པ་མ་བྱིན་པ་ཡིན། ||| neither has one made any offerings on one’s own accord—
སྡིག་པའི་ལས་ཀྱང་མ་བསམས་མ་བྱས་པ་ཡིན་ཏེ། ||| but one has not intentionally carried out any evil actions—
གང་ཟག་སུ་ཡང་རུང་སྟེ། དེ་མིར་སྐྱེས་ན་ཡང་དབུལ་པོའི་རིགས་སུ་སྐྱེ་སྟེ། ||| then, even if one were to be reborn as a human, one would be born into a poor family.
ཟས་དང་སྤྱོད་པ་ལ་སོགས་པས་མི་འཚོ་ཞིང་ཉོན་མོངས་ནས་སྡུག་ཅིང་གོས་ཟས་ཀྱིས་བྲེལ་ནས་སེར་སྣ་བྱེད་པ་ཡིན་ཏེ། ||| One would live without food or possessions and suffer hardship. Constantly toiling to obtain clothing and food, one will be stingy.
ལས་དེ་ལྟ་བུ་འདུས་པའི་གང་ཟག་ནི་དབུལ་པོ་ལ་སེར་སྣ་བྱེད་པའོ། ། ||| A person who has accumulated such an action will be poor and stingy.
གང་ཟག་ཚེ་ཟད་ལ་ལས་མ་ཟད་པ་གང་ཞེ་ན། ||| “What kind of persons have exhausted their lifespans but not the potential of their past actions?
གང་ཟག་སུ་ཡང་རུང་། སེམས་ཅན་དམྱལ་བར་ཤི་ནས་ཡང་སེམས་ཅན་དམྱལ་བར་སྐྱེ་བ། ||| Suppose that someone, although having passed away in the hell realm, is subsequently reborn in hell;
བྱོལ་སོང་ལས་ཤི་ནས་ཡང་བྱོལ་སོང་དུ་སྐྱེ་བ། ||| or having passed away as an animal, is reborn as an animal;
རིང་དུ་འཁྱམས་པ་ལས་ཤི་ན་ཡང་རིང་དུ་འཁྱམས་པར་སྐྱེ་བ། ||| or having passed away in the ghost realm, is reborn as a ghost;
ཨ་སུ་ར་ལས་ཤི་ནས་ཡང་ཨ་སུ་རར་སྐྱེ་བ། ||| or having passed away in the realm of asuras, is reborn as an asura;
མི་ལས་ཤི་ནས་ཡང་མིར་སྐྱེ་བ་ ||| or having died as a human, is reborn as a human.
དེ་ལྟ་བུའི་གང་ཟག་ནི་ཚེ་ཟད་ལ་ལས་མ་ཟད་པ་ཡིན་ནོ། ། ||| Such persons have exhausted their lifespans but not the potential of their past actions.
གང་ཟག་ལས་ཟད་ལ་ཚེ་མ་ཟད་པ་གང་ཞེ་ན། ||| “What kind of persons have exhausted the potential of their past actions but not their lifespans?
གང་ཟག་སུ་ཡང་རུང་སྟེ། སྔོན་སྐྱིད་ལ་ཕྱིས་སྡུག་པར་གྱུར་པ། སྔ་ན་སྡུག་ལ་ཕྱི་ནས་སྐྱིད་པར་གྱུར་པ་ ||| Those who formerly were happy and later became unhappy; or those who formerly were unhappy and later became happy.
དེ་ལྟ་བུའི་གང་ཟག་ནི་ལས་ཟད་ལ་ཚེ་མ་ཟད་པ་ཡིན་ནོ། ། ||| Such persons have exhausted the potential of their past actions but not their lifespans.
གང་ཟག་ལས་དང་ཚེ་གཉིས་ཀ་ཟད་པ་གང་ཞེ་ན། ||| “What kind of persons have exhausted both the potential of their past actions and their lifespans?
གང་ཟག་སུ་ཡང་རུང་སྟེ། སེམས་ཅན་དམྱལ་བ་ལས་ཤི་ནས་བྱོལ་སོང་དུ་སྐྱེས་པ། ||| Suppose a person, having passed away in the hell realm, is reborn as an animal;
བྱོལ་སོང་ལས་ཤི་ནས་རིང་དུ་འཁྱམས་པར་སྐྱེས་པ། ||| or having passed away as an animal, is reborn as a ghost;
རིང་དུ་འཁྱམས་པ་ལས་ཤི་ནས་ཨ་སུ་རར་སྐྱེས་པ། ||| or having passed away as a ghost, is reborn as an asura;
ཨ་སུ་ར་ལས་ཤི་ནས་མིར་སྐྱེས་པ། ||| or having passed away as an asura, is reborn as a human;
མི་ལས་ཤི་ནས་ལྷར་སྐྱེས་པ། ||| or having passed away as a human, is reborn as a god.
དེ་ལྟ་བུའི་གང་ཟག་ནི་ལས་དང་ཚེ་གཉིས་ཀ་ཟད་པ་ཡིན་ནོ། ། ||| Such persons have exhausted both the potential of their past actions and their lifespans.
གང་ཟག་ལས་གང་གིས་ན་ཚེ་ཡང་མ་ཟད་ལས་ཀྱང་མ་ཟད་ལ་མྱ་ངན་སྤངས་པ་གང་ཞེ་ན། ||| “What kind of persons, through which kind of action, [884] have eliminated suffering while neither their lifespans nor the potential of their past actions is exhausted?
རྒྱུན་དུ་ཞུགས་པ་དང་། ལན་ཅིག་ཕྱིར་འོང་བ་དང་། ཕྱིར་མི་འོང་བ་དང་། དགྲ་བཅོམ་པ་གང་ཟག་དེ་རྣམས་ལས་དང་ཚེ་མ་ཟད་མོད་ཀྱི་མྱ་ངན་སྤངས་པའོ། ། ||| The stream enterers, the once-returners, the non-returners, and the arhats—these individuals have eliminated suffering, although they have indeed neither exhausted the potential of their past actions nor their lifespans.
གང་ཟག་ལུས་བདེ་ལ་སེམས་མི་བདེ་བ་གང་ཞེ་ན། ||| “What kind of person is well in body but not in mind?
མ་རབས་ཀྱིས་བསོད་ནམས་བྱས་ནས་འཁོར་ལོ་སྐོར་བའི་རྒྱལ་པོར་གྱུར་པ་དེ་ལྟ་བུའི་གང་ཟག་ནི་ལུས་བདེ་ལ་སེམས་མི་བདེ་བའོ། ། ||| An ordinary worldly person who, after having acquired merit, becomes a universal monarch— this kind of person is well in body but not in mind.
གང་ཟག་སེམས་བདེ་ལ་ལུས་མི་བདེ་བ་གང་ཞེ་ན། ||| “What kind of person is well in their mind but not in their body?
བསོད་ནམས་མ་བྱས་པའི་དགྲ་བཅོམ་པ་སྟེ་ཁྲིམས་རྫོགས་པ། ||| An arhat who has not accumulated merit but whose ethical conduct is perfect.
འགུག་པ་ལྟ་བུ་དགྲ་བཅོམ་པའི་གང་ཟག་ནི་སེམས་བདེ་ལ་ལུས་མི་བདེ་ཞེས་བྱའོ། ། ||| A person such as Lekuñcika, who is an arhat, is well in mind, but his body is not well.
གང་ཟག་ལུས་དང་སེམས་གཉིས་ཀ་བདེ་བ་གང་ཞེ་ན། ||| “What kind of person is well in both mind and body?
བསོད་ནམས་བྱས་པའི་དགྲ་བཅོམ་པ་སྟེ། ཁྲིམས་རྫོགས་པ་རྡོ་སྟོབས་ལྟ་བུའི་གང་ཟག་ནི་ལུས་དང་སེམས་གཉིས་ཀ་བདེ་བའོ། ། ||| An arhat who has accumulated merit, a person like Śaivala, whose ethical conduct is perfect, is well in both mind and body.
གང་ཟག་ལུས་དང་སེམས་གཉིས་ཀ་མི་བདེ་བ་གང་ཞེ་ན། ||| “What kind of persons are unwell in their minds and in their bodies?
