༄༅༅། །འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་བརྒྱད་པ་སྟེ་ཁྱིམ་བདག་དཔས་བྱིན་གྱིས་ཞུས་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བཱི་ར་དཏྟ་གྲྀ་ཧ་པ་ཏི་པ་རི་པྲྀཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱིམ་བདག་དཔས་བྱིན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Householder Vīradatta
བྱང་ཆུབ་སེམས་དཔས་ལུས་མཐར་གྱིས་འགྲུབ་ཅིང་ཐ་མར་འཇིག་པས་བུམ་པ་ལྟ་བུར་བརྟག་པར་བྱ། ||| (19) A bodhisattva should consider the body as jar-like since it is gradually formed and eventually disintegrates.
བྱང་ཆུབ་སེམས་དཔས་ལུས་མྱ་ངན་གྱིས་གནོད་པ་མང་པོས་གང་བས་ཉམ་ཐག་པར་བརྟག་པར་བྱ། ||| (20) A bodhisattva should consider the body as destitute since it is rife with all sorts of painful afflictions.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཐ་མར་རྒ་ཤིར་འགྱུར་བས་རྟོན་པ་མེད་པར་བརྟག་པར་བྱ། ||| (21) A bodhisattva should consider the body as unreliable since it eventually grows old and dies.
བྱང་ཆུབ་སེམས་དཔས་ལུས་གཡོ་དང་སྒྱུའི་ཉེ་བར་སྤྱོད་པ་དག་གིས་གླགས་པར་བརྟག་པར་བྱ། ||| (22) A bodhisattva should consider the body as driven by deceitful and dishonest activities.
བྱང་ཆུབ་སེམས་དཔས་ལུས་དགང་དཀའ་བས་སའི་གཏིང་ལྟ་བུར་བརྟག་པར་བྱ། ||| (23) A bodhisattva should consider the body to be like the depths of the earth since it is hard to fill up.
བྱང་ཆུབ་སེམས་དཔས་ལུས་དགའ་བའི་གཟུགས་དང་། བདེ་བའི་གཟུགས་ལ་ཞེན་པས་མེ་ལྟ་བུར་བརྟག་པར་བྱ། ||| (24) A bodhisattva should consider the body to be like a mirror, since one grows attached to pleasant and pleasurable forms.
བྱང་ཆུབ་སེམས་དཔས་ལུས་འདོད་པའི་ཡོན་ཏན་ལྔ་པོ་དག་གིས་ཆོག་མི་ཤེས་པར་བརྟག་པར་བྱ། ||| (25) A bodhisattva should consider the body as something that is unable to be satisfied by the five sense pleasures.
བྱང་ཆུབ་སེམས་དཔས་ལུས་རྗེས་སུ་ཆགས་པ་དང་། ཁོང་ཁྲོ་བ་དག་གིས་འཇོམས་པར་བརྟག་པར་བྱ། ||| (26) A bodhisattva should consider the body as overcome by attachment and anger.
བྱང་ཆུབ་སེམས་དཔས་ལུས་བསྟི་སྟང་དང་། གནོད་པ་མྱོང་བས་མི་བརྟན་པར་བརྟག་པར་བྱ། ||| (27) A bodhisattva should consider the body as unstable due to experiencing reverence and abuse.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཆུ་ཀླུང་གི་རྒྱུན་བཞིན་དུ་གཞན་དང་གཞན་འབྱུང་བས་རྐྱེན་གཞན་དང་གཞན་དུ་བརྟག་པར་བྱ། ||| (28) A bodhisattva should consider the body as other-conditioned since it arises as one thing after another like a stream of a river.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཚུལ་བཞིན་མ་ཡིན་པ་རྣམ་པ་སྣ་ཚོགས་ཡིད་ལ་བྱེད་པའི་རྣམ་པར་རྟོག་པ་དག་གིས་ཡིད་ཀྱི་སེམས་པ་ཡིན་པར་བརྟག་པར་བྱ། ||| (29) A bodhisattva should consider the body as a focus of mental intention due to thoughts that are focused on various inappropriate aspects.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཐ་མར་དུར་ཁྲོད་ལ་ཐུག་པས་བྱས་པ་མི་གཟོ་བར་བརྟག་པར་བྱ། ||| (30) A bodhisattva should consider the body as ungrateful since it will end up arriving at the cremation ground.
བྱང་ཆུབ་སེམས་དཔས་ལུས་སྤྱང་ཀི་དང་། ཅེ་སྤྱང་དང་། ཁྱི་རྗེན་ཤ་ཟ་བ་དག་གི་ཟས་སུ་བརྟག་པར་བྱ། ||| (31) A bodhisattva should consider the body as the food of wolves, jackals, dogs, and flesh-eating demons.
བྱང་ཆུབ་སེམས་དཔས་ལུས་རུས་པ་དང་། རྒྱུས་པའི་བོག་རེས་སྦྲེལ་བས་འཁྲུལ་འཁོར་ལྟ་བུར་བརྟག་པར་བྱ། ||| (32) A bodhisattva should consider the body as like a machine stitched together with bones and tendons.
བྱང་ཆུབ་སེམས་དཔས་ལུས་བཤང་བ་དང་། གཅི་བ་དང་། མཆིལ་མ་དང་། སྣབས་དང་། རྣག་དང་། ཁྲག་གིས་ཡོངས་སུ་གང་བ་སྟེ། བལྟ་བའི་འོས་མ་ཡིན་པར་བརྟག་པར་བྱ། ||| (33) A bodhisattva should consider the body as unsuitable for viewing as it is full of crap, piss, spit, mucus, pus, and blood.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཟས་དང་སྐོམ་ལས་བྱུང་བ་སྟེ། རང་གི་ཁ་ན་ལས་པ་མ་ཡིན་པར་བརྟག་པར་བྱ། ||| (34) A bodhisattva should consider the body to be without independence since it has developed due to food and drink.
བྱང་ཆུབ་སེམས་དཔས་ལུས་མི་རྟག་པ་སྟེ། ཤིན་ཏུ་ཟད་པའི་ཆོས་ཉིད་ཡིན་པས་དོན་མེད་པའི་གླགས་པས་གླགས་པར་བརྟག་པར་བྱ། ||| (35) A bodhisattva should consider the body as driven by aimless pursuits since it is impermanent and of the nature of deterioration.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཕྱིར་རྒོལ་བ་མང་པོ་འབྱུང་བས་དགྲ་ལྟ་བུར་བརྟག་པར་བྱ། ||| (36) A bodhisattva should consider the body as an enemy since it gives rise to many hostile forces.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཡང་དང་ཡང་དུ་སྡུག་བསྔལ་མྱོང་བས་གསོད་པ་ལྟ་བུར་བརྟག་པར་བྱ། ||| (37) A bodhisattva should consider the body to be like a killer since it experiences suffering again and again.
བྱང་ཆུབ་སེམས་དཔས་ལུས་སྡུག་བསྔལ་གསུམ་གྱིས་གཙེས་ཏེ། ||| (38) A bodhisattva should consider the body as a receptacle of suffering since it is tormented by the three types of suffering.
གསུམ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are the three?
འདུ་བྱེད་ཀྱི་སྡུག་བསྔལ་ཉིད་དང་། འགྱུར་བའི་སྡུག་བསྔལ་ཉིད་དང་། སྡུག་བསྔལ་གྱི་སྡུག་བསྔལ་ཉིད་ཀྱིས་ཏེ་སྡུག་བསྔལ་གྱི་སྣོད་ཡིན་པར་བརྟག་པར་བྱ། ||| They are conditioned suffering, the suffering of change, and the suffering of suffering.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཕུང་པོ་ལྔ་མངོན་པར་གྲུབ་པས་སྡུག་བསྔལ་གྱི་གོང་བུ་ཡིན་པར་བརྟག་པར་བྱ། ||| (39) A bodhisattva should consider the body as being a mass of suffering since it is composed of the five aggregates.
བྱང་ཆུབ་སེམས་དཔས་ལུས་རྐྱེན་ཐ་དད་པ་ལས་བྱུང་བས་བདག་མེད་པ་དང་། བདག་པོ་མེད་པར་བརྟག་པར་བྱ། ||| (40) A bodhisattva should consider the body to be selfless and ownerless since it arises from varied conditions.
བྱང་ཆུབ་སེམས་དཔས་ལུས་སྐྱེས་པ་དང་། བུད་མེད་དང་བྲལ་བས་སྲོག་མེད་པར་བརྟག་པར་བྱ། ||| (41) A bodhisattva should consider the body to be lifeless since it is devoid of male and female.
བྱང་ཆུབ་སེམས་དཔས་ལུས་ཕུང་པོ་དང་། ཁམས་དང་། སྐྱེ་མཆེད་རྣམས་ཀྱིས་སྟོང་པར་བརྟག་པར་བྱ། ||| (42) A bodhisattva should consider the body to be empty of the aggregates, elements, and sense bases.
བྱང་ཆུབ་སེམས་དཔས་ལུས་རྨི་ལམ་ལྟ་བུ་སྟེ། གསོག་ཏུ་བརྟག་པར་བྱ། བྱང་ཆུབ་སེམས་དཔས་ལུས་སྒྱུ་མ་ལྟ་བུ་སྟེ། ཡང་དག་པ་མ་ཡིན་པར་བརྟག་པར་བྱ། བྱང་ཆུབ་སེམས་དཔས་ལུས་སྨིག་རྒྱུ་ལྟ་བུ་སྟེ། འཁྲུལ་པར་བྱེད་པར་བརྟག་པར་བྱ། བྱང་ཆུབ་སེམས་དཔས་ལུས་བྲག་ཅ་ལྟ་བུ་སྟེ། སླུ་བར་བརྟག་པར་བྱ། ||| (43) A bodhisattva should consider the body to be ephemeral like a dream, unreal like an illusion, bewildering like a mirage, and deceptive like an echo.
བྱང་ཆུབ་སེམས་དཔས་ལུས་མིག་ཡོར་ལྟ་བུ་སྟེ། སླུ་བའི་བདག་ཉིད་དུ་བརྟག་པར་བྱ་སྟེ། ||| (44) A bodhisattva should consider the body to have a deceptive nature like an optical illusion.
ཁྱིམ་བདག་རྣམས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་རྣམ་པ་བཞི་བཅུ་རྩ་བཞི་པོ་དེ་དག་གིས་ལུས་ལ་བརྟག་པར་བྱའོ། ||| Householders, a bodhisattva mahāsattva should consider the body according to these forty-four aspects.
།དེ་ལྟར་རྟོག་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལུས་ལ་ལུས་སུ་འདུན་པ་དང་། ལུས་ལ་དགའ་བ་དང་། ལུས་བདག་གིར་བྱེད་པ་དང་། ལུས་ལ་སྲེད་པ་དང་། ལུས་ལ་གནས་པ་དང་། ལུས་ལ་ཞེན་པ་གང་ཡིན་པ་དེ་དག་ཐམས་ཅད་སྤོང་ངོ་། ||| A bodhisattva mahāsattva who understands things in this way regarding the body relinquishes all longing for bodies, delighting in the body, taking the body as mine, craving for the body, relying on the body, and being attached to the body.
།སྲོག་ལ་སྲོག་ཏུ་འདུན་པ་དང་། སྲོག་ལ་དགའ་བ་དང་། སྲོག་བདག་གིར་བྱེད་པ་དང་། སྲོག་ལ་སྲེད་པ་དང་། སྲོག་ལ་གནས་པ་དང་། སྲོག་ལ་ཞེན་པ་གང་ཡིན་པ་དང་། དེ་བཞིན་དུ་ནོར་དང་། འབྲུ་དང་། ཁྱིམ་དང་། ཆུང་མ་དང་། བུ་དང་། བུ་མོ་དང་། བཟའ་བ་དང་། བཏུང་བ་དང་། བགོ་བ་དང་། བཞོན་པ་དང་། མལ་ཆ་དང་། མེ་ཏོག་དང་། བདུག་པ་དང་། སྤོས་དང་། ཕྲེང་བ་དང་། བྱུག་པ་རྣམས་དང་། ཡོ་བྱད་ཐམས་ཅད་ཀྱི་བར་དག་ལ་འདུན་པ་དང་། དགའ་བ་དང་། བདག་གིར་བྱེད་པ་དང་། སྲེད་པ་དང་། གནས་པ་དང་། ཞེན་པ་གང་ཡིན་པ་དེ་དག་ཐམས་ཅད་སྤོང་སྟེ། དེ་ལུས་དང་སྲོག་ལ་མི་ལྟའོ། ||| “Where life is concerned, he relinquishes all hankering for life, delighting in life, identifying with life as mine, craving for life, relying on life, and being attached to life. Likewise, he relinquishes all hankering for, delighting in, taking as mine, craving for, relying on, and being attached to wealth, grain, house, wife, sons, daughters, food, drink, clothing, vehicles, bedding, flowers, incense, perfumes, garlands, ointments, or any other possessions. “Thus, he disregards body and life.
།དེ་བཞིན་དུ་ནོར་དང་། འབྲུ་དང་། ཁྱིམ་དང་། ཆུང་མ་དང་། བུ་དང་། བུ་མོ་དང་། བཟའ་བ་དང་། བཏུང་བ་དང་། བགོ་བ་དང་། བཞོན་པ་དང་། མལ་ཆ་དང་། མེ་ཏོག་དང་། བདུག་པ་དང་། སྤོས་དང་། ཕྲེང་བ་དང་། བྱུག་པ་རྣམས་ལ་མི་ལྟ་བར་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་མྱུར་དུ་ཡོངས་སུ་རྫོགས་པར་བྱེད་དོ། ||| Likewise, he disregards wealth, grain, house, wife, sons, daughters, food, drink, clothing, vehicles, bedding, flowers, incense, perfumes, garlands, and ointments; he quickly completes the six perfections.
།ཁྱིམ་བདག་རྣམས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་ཡོངས་སུ་རྫོགས་ནས་མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ། ||| Householders, the bodhisattva mahāsattva who completes the six perfections will quickly become awakened to unsurpassable complete and perfect awakening.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལུས་རྒྱ་ཆེར་ཡོངས་སུ་བསྟན་པའི་ཕྱིར་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ||| Then, on this occasion, in order to elaborate on the body in more detail, the Blessed One spoke the following verses:
།མི་ཉིད་ཤིན་ཏུ་རྙེད་དཀའ་རྙེད་པ་ལ། ||| “This human existence is very difficult to find,
།ལུས་ཀྱི་ཕྱིར་ནི་སྡིག་པ་མ་བྱེད་ཅིག །འདི་ནི་དུར་ཁྲོད་པ་སྟེ་ཅེ་སྤྱང་ཟས། །ལུས་ཀྱི་ཕྱིར་ནི་ཡ་ངར་མ་འཇུག་ཅིག ། ||| So do not commit sins for the sake of the body. Do not expose yourself to the dangers of this body, Which is food for charnel-ground dwellers and jackals.
གཡོ་ལྡན་ལུས་ལ་སྲེད་པ་བསྐྱེད་ནས་ནི། ||| “Arousing craving for this cunning body,
།བྱིས་པ་རྟག་ཏུ་རྣམ་པར་རྨོངས་ཏེ་འཁྱམ། ||| The childish are always deluded and go astray.
།ལུས་འདི་བྱས་པ་མི་གཟོ་དངོས་ཡིན་པས། ||| Since this body is, in fact, ungrateful,
།ཉིན་དང་མཚན་དུ་སྡུག་བསྔལ་ཚོར་བ་མྱོང་། ||| One experiences sensations of suffering day and night.
།རྟག་ཏུ་ནད་འདྲ་སྡུག་བསྔལ་འཁྲུལ་འཁོར་ཏེ། ||| “A machine always suffering with sickness and the like,
།ལུས་འདི་ངན་སྐྱུགས་རྣམས་དང་མཆིལ་མས་གང་། ||| This body is filled with vomit and mucous.
།བཀྲེས་དང་སྐོམ་པས་རྟག་ཏུ་མངོན་པར་གཙེས། ||| Since it is always tormented with hunger and thirst,
།མཁས་པ་སུ་ཞིག་ལུས་ལ་སྲེད་པ་སྐྱེད། ||| What wise person would arouse craving for the body?
།ལུས་ནི་ས་གཏིང་འདྲ་སྟེ་ཆོག་མི་ཤེས། ||| “The body is insatiable like the depths of the earth.
།གཤེད་མ་མི་མཛའ་འདྲ་ཡང་བྱིས་པས་གསོ། ||| Though it is like a hostile executioner, it is pampered by the childish.
།ལུས་ཀྱི་ཆེད་དུ་སྡིག་པའི་ལས་ཀྱང་བྱེད། ||| Committing evil for the sake of the body,
།དེ་ཕྱིར་དེ་དག་སྡུག་བསྔལ་ཚོར་བ་མྱོང་། ||| They thus experience the sensations of suffering.
།ལུས་འདི་རྡོ་རྗེ་ལྟ་བུར་སྲ་མ་ཡིན། ||| “This body is not solid like a diamond,
།ལུས་ཀྱི་ཆེད་དུ་སྡིག་པ་མ་བྱེད་ཅིག །འཆི་བར་རྟོགས་ནས་བསོད་ནམས་མྱུར་དུ་བྱོས། ||| So do not commit evil for the sake of the body. Having understood death, quickly perform meritorious deeds!
།དེ་བཞིན་སངས་རྒྱས་བསྟན་ལ་དད་པ་སྐྱེད། ||| Likewise, arouse faith in the Buddha’s teaching.
།ཟས་དང་སྐོམ་དང་བྱུག་པ་གོས་རྣམས་ཀྱིས། །ལུས་འདི་ཇི་སྲིད་ཡུན་རིང་བསྙེན་བཀུར་ཏེ། ||| “For as long as this body is honored With food, drink, ointments, and garments,
།བརྟན་པར་བྱས་ཀྱང་འཇིག་པར་འགྱུར་ཡིན་ན། ||| If it steadily deteriorates despite attempts to make it endure,
།འདི་ལ་འབད་པ་དོན་མེད་ཅི་ཕྱིར་བྱ། ||| Why make such useless efforts for it?
།བསྐལ་པ་བརྒྱར་ཡང་ཤིན་ཏུ་རྙེད་དཀའ་བ། །ཐུབ་པའི་འབྱུང་འདི་ཁྱེད་ཀྱིས་རྙེད་པ་ལ། ||| “As you have found this appearance of the Sage, Extremely difficult to find for a hundred eons,
།སངས་རྒྱས་བསྟན་ལ་དེ་བཞིན་དད་པ་སྐྱེད། ||| And have aroused faith in the Buddha’s teachings,
།ཤིན་ཏུ་འཇིགས་པའི་ངན་འགྲོར་མ་འགྲོ་ཤིག །ལོ་སྟོང་བྱེ་བར་སུ་ཞིག་འཚོ་གྱུར་པ། ||| Do not descend to the lower realms! “If one who has lived there for tens of millions of years
།དེས་ཀྱང་ཆགས་པ་ཡོངས་སུ་སྤང་བྱ་ན། །སུ་ཞིག་ལོ་བརྒྱ་ཐུབ་པར་མི་འགྱུར་བ། །དེ་ཕྱིར་དགའ་བ་མི་རྙེད་སྨོས་ཅི་དགོས། ||| Must still relinquish such attachments, Then need it be said that one who is unable to do so In one hundred years will not find happiness?
།མ་བསྡམས་མི་རྣམས་ཁ་ཅིག་འདི་སྐད་དུ། ||| “Some uninhibited people say,
།མིར་རྙེད་ཤིན་ཏུ་དཀའ་བ་རྙེད་པ་ལ། ||| ‘Having found this human existence, which is so hard to find,
།གཞོན་ཚེ་རྩེད་མོ་དག་དང་དགའ་བྱ་ཞིང་། ||| We should have fun and enjoy this time of youth,
།ནོར་བཙལ་བདེ་བ་མྱོང་བར་བྱ་ཞེས་ཟེར། ||| And experience the joys of seeking wealth.’
།ནོར་ཚོལ་བ་ལ་བདེ་བ་ག་ལ་ཡོད། ||| “But how can there be any joy in seeking wealth
།བསྲུང་བའི་ཕྱིར་ཡང་སྡུག་བསྔལ་མྱོང་བར་འགྱུར། ||| When we experience such miseries for the sake of protecting it?
།དེ་ཕྱིར་མཁས་པས་ཆགས་པ་ཡོངས་སྤངས་ལ། ||| Therefore, the wise should relinquish all attachment
།ངན་ངོན་ཙམ་གྱིས་ཆོག་ཤེས་ཐོབ་པར་བྱོས། ||| And find contentment in just the bare necessities.
།ལོངས་སྤྱོད་སྒྱུ་མ་འདྲ་ཞིང་རྨི་ལམ་མཚུངས། ||| “Enjoyments are like an illusion and like a dream.
།འདི་དག་བྱིས་པའི་སྐྱེ་བོ་འདྲིད་པ་ཡིན། ||| They deceive childish people.
།སྐད་ཅིག་འབྱུང་ཞིང་སྐད་ཅིག་འཇིག་པར་འགྱུར། ||| They arise one moment and perish the next.
།མཁས་པ་སུ་ཞིག་ལོངས་སྤྱོད་སྲེད་པ་སྐྱེད། ||| What wise person would arouse craving for possessions?
།སྒྱུ་མ་འདྲ་ཞིང་གར་མཁན་ལྟ་དང་མཚུངས། ||| “They are illusion-like and similar to watching an actor;
།དྲི་ཟའི་གྲོང་ཁྱེར་སྣ་ཚོགས་ཅི་འདྲ་བ། ||| They are like any of the myriad cities of the gandharvas.
།ལོངས་སྤྱོད་དེ་དག་འདི་འདྲ་བྱིས་པ་འདྲིད། ||| Such enjoyments deceive the childish.
།དེ་ལྟར་ལོག་པ་ཚོལ་ཞིང་བྱིས་པ་འཁྱམ། ||| Thus, the childish wrongly seek them and go astray.
།སྡུག་བསྔལ་བརྒྱ་ཡིས་ལོངས་སྤྱོད་བཙལ་བཙལ་བ། ||| “When desired possessions pursued with a hundred miseries
།ལུས་ལ་གནོད་པ་མཚུངས་མེད་བསྐྱེད་བྱས་ནས། ||| Bring incomparable harm to the body
།རྒྱལ་པོའི་མཐུ་ཡིས་དེ་དག་ཕྲོགས་གྱུར་པ། ||| And may then be seized under the command of a king,
།དེ་དག་ལ་ནི་མཁས་གང་དགའ་བ་སྐྱེད། ||| What wise person would arouse joy for them?
།བུ་དང་ཆུང་མའི་དབང་དུ་མི་འགྱུར་བར། ||| “While remaining aloof from one’s children and spouse,
།རྒྱལ་པོས་ཉེས་པ་བྱུང་བའི་ནོར་ཕྲོགས་པ། ||| One’s wrongly obtained wealth may be seized by a king.
།ཉེས་པ་དེ་དག་འདི་འདྲ་རིག་ནས་སུ། ||| Knowing evils such as this,
།མཁས་པ་རྣམས་ནི་ཁྱིམ་ལ་སྲེད་མི་སྐྱེད། ||| Wise people do not arouse craving for the home.
།རྟག་ཏུ་བརྣབ་ཅིང་ལོངས་སྤྱོད་ཚོལ་བྱེད་པ། ||| “Ever covetous and seeking enjoyments,
།དེ་ནི་ཕ་དང་མ་ལ་མི་གུས་ཤིང་། ||| One is disrespectful toward one’s father and mother.
།བུ་དང་ཆུང་མ་རྣམས་ལ་མི་བྱམས་པར། ||| One is not loving toward one’s children and spouse
།དེ་དག་རྟག་ཏུ་ཆགས་ལ་འཇུག་པར་བྱེད། ||| But nonetheless harbors constant attachment to them.
།བདག་གི་ལོངས་སྤྱོད་འགྲིབ་པར་འགྱུར་འོང་ཞེས། ||| “A covetous woman who exclaims, ‘My enjoyments will decline,’
།བརྣབ་མོ་བྱས་གཟོ་ནམས་ཀྱང་རྙེད་མི་འགྱུར། ||| Will never discover gratitude.
།གཡོ་དང་སྒྱུས་ནི་ནོར་རྣམས་ཚོལ་བྱེད་པ། །བརྣབ་མོ་དག་ལ་མཁས་པ་ཡིད་མི་རྟོན། ||| A wise person does not confide in covetous people Who seek wealth through cunning and deception.
།སེམས་ཅན་བརྣབ་མོ་གཡོ་ལྡན་འདྲིད་པ་ཉིད། །ཡིད་གཞན་སེམས་ལ་ཚིག་གིས་དགའ་བར་བྱེད། ||| “Beings are fooled by deceitful, covetous women And delighted by words that express an intent to fulfill others’ wishes.
།ཡིད་བརྟན་ཀྱང་ནི་དེ་ལ་ཡིད་མི་རྟོན། ||| Despite their confidence, one should not confide in them,
།འོན་ཀྱང་བུ་འདྲར་སྡུག་པར་སྟོན་པར་བྱེད། ||| Though they display affections like a child.
།སེམས་ཅན་བརྣབ་མོ་འཇིག་རྟེན་གང་རྒྱུ་བ། ||| “Covetous women who are active in the world
།སྨན་དང་བསྟན་བཅོས་དག་ལ་མཁས་སྟོན་ཅིང་། ||| May teach scholars about medicine and treatises,
།སྨད་འཚོང་ལྟ་བུར་ཚིག་གིས་འདྲིད་བྱེད་ལ། ||| Thereby deceiving them with words like a prostitute,
།ཁོང་ནས་མི་བདེ་ཤིན་ཏུ་རྩུབ་པ་ཡིན། ||| But at bottom they are unpleasant and very harsh.
།བརྣབ་མོ་དག་ལ་མཛའ་བོ་ནམས་ཀྱང་མེད། ||| “Covetous women are never friendly partners.
།ཉེ་དུ་མེད་ཅིང་སྙིང་སླེབས་གྲོགས་ཀྱང་མེད། ||| They are without relatives and without close friends.
།འོན་ཀྱང་དེ་དག་ནོར་ཕྱིར་སྟེན་པར་བྱེད། ||| They nonetheless put on a show for the sake of money.
།སྐྱེ་བོ་བརྣབ་ལ་མཁས་པ་ཡིད་མི་རྟོན། ||| The wise should not confide in covetous people.
།བརྣབ་མོ་ལོངས་སྤྱོད་ཆེད་དུ་བྱ་མིན་བྱེད། ||| “Not committing any deed for the sake of covetous women and enjoyments,
།ཤིན་ཏུ་མི་བཟད་སེམས་ནི་ཀུན་ཏུ་སྐྱེད། ||| One fully engenders a mind that is utterly inexhaustible.
།དེ་ཕྱིར་མཁས་པས་ཡང་དག་རྟོགས་བྱས་ལ། ||| Therefore, the wise gain perfect understanding
།ངན་ངོན་ཅི་ཡང་རུང་བས་ཆོག་ཤེས་གྱིས། ||| And find contentment in even the barest of necessities.
།གསེར་དང་མུ་ཏིག་ནོར་བུ་བྱི་རུ་དང་། །ལས་དགེས་དེ་དག་ལྦུ་བ་ལས་ཀྱང་འབྱུང་། ། ||| “Gold, pearls, jewels, and coral— For the virtuous, these things arise as if from bubbles.
དེ་དག་སྒྱུ་མའི་རང་བཞིན་མ་རྟོགས་ནས། །དེ་དག་ཕྱིར་ནི་འཐབ་ཅིང་རྩོད་པ་བྱེད། ||| When they are not recognized as having the nature of illusion, People argue and fight for the sake of these things.
།བྱམས་པ་ཞེས་བྱ་གང་ཞིག་འདིར་འབྱུང་སྟེ། ||| “The one who is called Maitreya will appear here.
།དེ་བཞིན་གཤེགས་པ་དེ་ནི་འབྱུང་བའི་ཚེ། ||| And at the time of that tathāgata’s appearance,
།ས་འདི་གསེར་གྱིས་རབ་ཏུ་གང་བར་འགྱུར། ||| This earth will be totally filled with gold.
།དེ་ཡི་ཚེ་ན་དེ་ནི་ག་ལས་འབྱུང་། ||| Whence will he appear on that occasion?
།འདོད་པའི་ཡོན་ཏན་ལྔ་དག་འབྱུང་བ་སྟེ། ||| “The appearance of the five sensual pleasures
།བརྫུན་པའི་ཆོས་ཅན་འཁྲུལ་བྱེད་རྨོངས་པར་བྱེད། ||| Is of the nature of deception, creating confusion and delusion.
།དཔེར་ན་སོས་ཀའི་ཉི་མ་གུང་དུས་ན། །སྨིག་རྒྱུར་ཆུར་སྣང་འདོད་པ་དེ་བཞིན་ནོ། ||| As an analogy, it is like desiring the water That seems to appear in a mirage, at midday in the hot season.
།བསྐལ་པ་གཅིག་ལོན་ནས་ནི་འཇིག་རྟེན་འདི། །ནམ་མཁའི་རང་བཞིན་ནམ་མཁར་འགྱུར་བར་འོང་། །ལྷུན་པོ་དག་ཀྱང་འཚིག་ཅིང་རྣམ་པར་འཇིག །དེ་དག་གང་ནས་འོངས་ཤིང་གང་དུ་འགྲོ། ||| “Once this single eon has elapsed, this world, Which is of the nature of space, will turn into space. Even mountains will burn and be destroyed. Where do they come from? Where do they go?
།ཆུ་མིག་མཚེའུ་དང་རྫིང་དང་རྒྱ་མཚོ་རྣམས། ||| “Fountains, ponds, lakes, and oceans
།དེ་དག་མེད་འགྱུར་སྐམས་འགྱུར་འབྱུང་བར་འགྱུར། ||| Will dry up and cease to exist.
།དེ་བཞིན་འདོད་པ་གསོག་སྟེ་སྙིང་པོ་མེད། ||| Likewise, desired things hoarded are without essence.
།མཁས་པ་སུ་ཞིག་དེ་ལ་དགའ་བར་བྱེད། ||| What wise person would take joy in them?
།མཁས་པ་གང་དག་བློ་ཡི་སྟོབས་ལྡན་པ། ||| “Wise people with strength of mind
།དེ་དག་རྟག་ཏུ་ཁྱིམ་གྱི་སྐྱོན་ལ་རྟོག །འདི་ལ་རོ་མྱོང་བྱེད་པ་སུ་ཡོད་ན། ||| Always examine the drawbacks of the home. When one has experienced the taste of these,
།འདི་དག་ཅི་ཕྱིར་ཁྱིམ་ནི་སྤོང་མི་བྱེད། ||| Why would one not relinquish them?
།འདྲེན་མའི་ལས་ཀྱིས་ལོངས་སྤྱོད་ཚོལ་བྱེད་ཅིང་། ||| “Through a mix of karma one seeks enjoyments
།བུ་དང་དེ་བཞིན་ཆུང་མ་གསོ་བར་བྱེད། ||| And provides for children along with a spouse.
།ཤིན་ཏུ་སྡུག་བསྔལ་གྱུར་པ་དེ་དུས་ན། ||| But in times when one suffers intensely,
།བུ་དང་ཆུང་མ་སྐྱབས་སུ་འགྱུར་མ་ཡིན། ||| Children and spouse provide no refuge.
།ཇི་ལྟར་སྣ་ཚོགས་ལས་བྱས་བླངས་པ་བཞིན། ||| “When one accepts doing various deeds,
།བུ་དང་ཆུང་མ་དག་ཀྱང་འདོར་བར་འགྱུར། ||| Children and spouses will be neglected.
