༄༅། །རྒྱ་གར་སྐད་དུ། མཱ་ཡཱ་ཛཱ་ལཾ་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་སྒྱུ་མའི་དྲ་བ་ཞེས་བྱ་བ། དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Mahāsūtra “Illusion’s Net” Homage to the Three Jewels.
ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ནི་ཁོང་ཁྲོ་བ་དང་ལྡན་ཞིང་གནས་པར་གྱུར། ||| I became and remained averse to unpleasant tastes perceived by the tongue.
ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ལ་ནི་སོ་སོ་སོ་སོར་བརྟགས་པ་མ་ཡིན་པའི་བཏང་སྙོམས་སུ་གནས་པར་གྱུར་ཏེ། ||| I became and remained thoughtlessly indifferent to neutral tastes perceived by the tongue.
དེ་ལྟར་བདག་ཡུན་རིང་པོ་ནས་འདི་ལ་རྗེས་སུ་སློབ་ཅིང་རྗེས་སུ་བྱེད་པ་ན་རྒ་བ་དང་། འཆི་བ་ཉམས་སུ་མྱོང་ཞིང་སྔོན་གྱི་མཐའ་མི་མངོན་པར་གྱུར་པས། ||| I have trained myself and behaved in this way for a long time, and so I have experienced old age and death.
བདག་གིས་ད་ནི་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་དག་ལ་སྔོན་ཇི་ལྟ་བ་དེ་ལྟར་བསླབ་པར་མི་བྱ་ཞིང་། བདག་གིས་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་རོ་དག་ལ་ལོག་པར་མོས་པའམ་འདུ་ཤེས་ཕྱིན་ཅི་ལོག་གམ། སེམས་ཕྱིན་ཅི་ལོག་གམ། ||| The past is gone, so today I will no longer train myself as I did before regarding tastes perceived by the tongue.
ལྟ་བ་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པ་འདི་ལྟ་སྟེ། བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། ཚུལ་ཁྲིམས་དང་བརྟུལ་ཞུགས་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་དང་། འདི་བདེན་ནོ་སྙམ་དུ་མངོན་པར་ཞེན་ཅིང་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་གང་དག་ཡིན་པ་དེ་དག་སྤང་བའི་ཕྱིར་བསླབ་པར་བྱ་ཞིང་། དེ་དག་སྤངས་པར་གྱུར་ཅིག་ཅེས་དེ་ལྟར་སོ་སོར་རྟོག་པར་བྱེད་པའི་ཕྱིར་རོ། ། ||| I must train myself to abandon mistaken beliefs, wrong ideas, incorrect thoughts, and incorrect views regarding past, future, and present tastes perceived by the tongue that are the psychophysical bonds of covetousness, malice, a sense of moral and ascetic supremacy, and thinking, “This is the truth,” and clinging to it as real—and then I must abandon them.’
དགེ་སློང་དག་འོན་ཀྱང་འདི་ན་ཁ་ཅིག་ལ་ནི་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་དེ་དག་ཉིད་ཡིད་དུ་འོང་བར་འགྱུར་ལ། གཞན་དག་ལ་ནི་དེ་དག་ཉིད་ཡིད་དུ་མི་འོང་བར་འགྱུར་བ་ཡང་ཡོད་ལ། ||| “Moreover, monks, the very same tastes perceived by the tongue may be pleasant to some but unpleasant to others.
དེ་དག་ལ་ཡང་དུས་ལ་ལར་ནི་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར་ཞིང་། དུས་ལ་ལར་ནི་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར། དུས་ལ་ལར་ནི་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར་ཏེ། ||| Sometimes they will be pleasant to them, sometimes they will be unpleasant, and sometimes they will be neutral.
དགེ་སློང་དག་དེ་ལྟར་ན་འདི་ལ་སེམས་ཅན་རྣམས་ཡུན་རིང་པོ་ནས་སེམས་ཀྱིས་བསྒྲིབས་ཤིང་། སེམས་ཀྱིས་བྲིད། སེམས་ཀྱིས་བསླུས་ནས་ཉེས་དམིགས་སུ་མི་མཐོང་ཞིང་། ||| Monks, beings have been obscured by their minds in this way for a long time, and since they have been deceived and duped by their minds, they do not recognize the error.
ངེས་པར་འབྱུང་བ་རབ་ཏུ་མི་ཤེས་ཏེ། བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་གོ། ། ||| They have no conception of renunciation, and evil Māra forces them to do whatever he desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ། བྲམ་ཟེ་གང་དག་ཁ་ཅིག་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་འདི་དག་ཉིད་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ||| “Monks, some śramaṇas and brāhmaṇas do not see those tastes that are perceived by the tongue as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly.
མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་བརྫུན་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་རྗེས་སུ་ཆགས་ཤིང་གནས་ཏེ། ||| They become and remain attached to pleasant tastes perceived by the tongue.
དགེ་སྦྱོང་དང་། བྲམ་ཟེ་བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of covetousness.
རྗེས་སུ་ཆགས་པའི་ཀུན་དུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| They are entangled in attachment, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ། བྲམ་ཟེ་གང་དག་ཁ་ཅིག་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་འདི་དག་ཉིད་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ||| “Monks, some śramaṇas and brāhmaṇas do not see those tastes that are perceived by the tongue as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly.
མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་བརྫུན་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ཁོང་ཁྲོ་བ་དང་ལྡན་པར་གནས་ཏེ། ||| They remain averse to unpleasant tastes perceived by the tongue.
དགེ་སྦྱོང་དང་། བྲམ་ཟེ་གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of malice.
ཁོང་ཁྲོ་བའི་ཀུན་ཏུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| They are entangled in aversion, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ། བྲམ་ཟེ་གང་དག་ཁ་ཅིག་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་འདི་དག་ཉིད་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ||| “Monks, some śramaṇas and brāhmaṇas do not see those tastes that are perceived by the tongue as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། མངོན་པར་ཤེས་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་དོན་མེད་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ལ་སོ་སོར་བརྟགས་པ་མ་ཡིན། ||| They cling to them as real, they think, ‘This is true, and anything else is meaningless,’ and they conduct themselves accordingly.
སོ་སོར་བརྟགས་པ་མ་ཡིན་པའི་བཏང་སྙོམས་སུ་གནས་ཏེ། ||| They remain thoughtlessly indifferent to neutral tastes perceived by the tongue.
དགེ་སྦྱོང་དང་། བྲམ་ཟེ་འདི་བདེན་ནོ་སྙམ་དུ་མངོན་པར་ཞེན་ཅིང་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of thinking, ‘This is the truth,’ and clinging to it as real.
ང་རྒྱལ་གྱི་ཀུན་དུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| They are entangled in pride, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་འདི་ལྟ་སྟེ། ||| “Here is an analogy, monks.
དཔེར་ན་སློབ་མ་ཞིག་གིས་སློབ་དཔོན་ཟས་སྦྱིན་པར་བྱའོ་ཞེས་བ་ལང་གི་ལྕི་བ་ཟར་བཅུག་ཅིང་། ||| A student might say, ‘I will offer my teacher food,’ and give them cow dung to eat.
སྐོམ་བླུད་པར་བྱའོ་ཞེས་གཅིན་འཐུང་དུ་བཅུག་ལ། ||| They might say, ‘I will quench their thirst,’ and give them urine to drink.
དེ་དེས་མངོན་པར་དགའ་བར་བྱེད་ཅིང་དེ་ལ་ཉེས་དམིགས་སུ་མ་མཐོང་བ་ལས། ||| They might take great pleasure in doing so and not see any fault in it.
གང་གི་ཚེ་དེ་སོ་སོར་རྟོག་པར་བྱེད་པ་ན་བདག་གིས་སློབ་དཔོན་ཟས་སྦྱིན་པར་བྱའོ་ཞེས་བ་ལང་གི་ལྕི་བ་ཟར་བཅུག་ཅིང་། སྐོམ་བླུད་པར་བྱའོ་ཞེས་གཅིན་འཐུང་དུ་བཅུག་པར་ཤེས་པར་གྱུར་པ་དེའི་ཚེ། དེ་དེས་གདུང་བར་བྱེད། ངོ་ཚ་བར་བྱེད་ལ། གནོང་བར་བྱེད་ཅིང་རྣམ་པར་སྨོད་པར་བྱེད་དོ། ། ||| Then, when they thoroughly examine their actions, they realize, ‘I said, “I will offer my teacher food,” and then I gave them cow dung to eat, and I said, “I will quench their thirst,” and then I gave them urine to drink,’ and it brings them distress, shame, remorse, and disgust.
དགེ་སློང་དག་དེ་བཞིན་དུ་འཕགས་པ་ཉན་ཐོས་ཐོས་པ་དང་ལྡན་པ་ཡང་འཕགས་པ་འཇིག་རྟེན་ལས་འདས་པའི་ཤེས་རབ་འདི་ཉིད་ཐོབ་ནས་སྔོན་གྱི་བྱིས་པའི་སྤྱོད་པ་དང་། རྨོངས་པའི་སྤྱོད་པ་དང་། ཤེས་རབ་འཆལ་པའི་སྤྱོད་པ་དེས་གདུང་བར་བྱེད། ངོ་ཚ་བར་བྱེད། ||| “Monks, in the same way, after noble hearers who are learned have obtained noble, supramundane wisdom, their previous childish, deluded, and confused behavior brings them distress, shame, remorse, and disgust.
གནོང་བར་བྱེད་ཅིང་རྣམ་པར་སྨོད་པར་བྱེད་ལ་དེ་འདི་སྙམ་དུ་སེམས་ཏེ། བདག་གིས་ནི་སྔོན་མི་རྟག་པ་ཁོ་ན་ལ་རྟག་པར་བསམས་ཤིང་། ||| They think, ‘Formerly, I thought there was permanence where there is only impermanence.
བདག་གིས་སྡུག་བསྔལ་བ་ཁོ་ན་ལ་ནི་བདེ་བར་བསམས། ||| I thought there was happiness where there is only suffering.
བདག་གིས་མི་གཙང་བ་ཁོ་ན་ལ་ནི་གཙང་བར་བསམས། ||| I thought there was purity where there is only impurity.
བདག་གིས་བདག་མེད་པ་ཁོ་ན་ལ་ནི་བདག་ཏུ་བསམས་ཏེ། ||| I thought there was a self where there is only the absence of a self.
དེ་ལྟར་ན་བདག་ནི་སྔོན་མི་རྟག་པ་ལ་རྟག་པར་འདུ་ཤེས་པ་དང་། ||| In this way, formerly, I perceived impermanence as permanence.
སྡུག་བསྔལ་བ་ལ་བདེ་བར་འདུ་ཤེས་པ་དང་། ||| I perceived suffering as happiness.
མི་གཙང་བ་ལ་གཙང་བར་འདུ་ཤེས་པ་དང་། ||| I perceived impurity as purity.
བདག་མེད་པ་ལ་བདག་ཏུ་འདུ་ཤེས་པར་གྱུར་ཏོ་སྙམ་དུ་སེམས་སོ། ། ||| I perceived the absence of a self as a self.’
དགེ་སློང་དག་འདི་ལྟ་སྟེ། ||| “Here is an analogy, monks.
དཔེར་ན་སོ་གའི་ཟླ་བ་ཐ་མ་ལ་སྤྲིན་མེད་ཅིང་སྤྲིན་དང་བྲལ་བའི་ཉི་མའི་གུང་ཚིགས་ལ་བབ་པའི་ཚེ། ཚ་བས་སྨིག་རྒྱུ་དག་གཡོ་བར་གྱུར་པ་ན། དེ་ལ་སེམས་ཅན་བྱིས་པའི་རང་བཞིན་ཅན་དང་། རྨོངས་པའི་རང་བཞིན་ཅན་དང་། ཤེས་རབ་འཆལ་པའི་རང་བཞིན་ཅན་གང་དག་ཡིན་པ་དེ་དག་ནི་འདི་སྙམ་དུ་སེམས་ཏེ། གང་འདི་ལྟར་སྣང་བའི་ཆུ་འདི་ནི་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་ཡོད་དོ་སྙམ་དུ་སེམས་སོ། ། ||| When the sun is at its zenith in a cloudless sky in the last month of spring, undulating mirages may appear due to the heat, and beings who have a childish, deluded, and confused disposition might think, ‘There is water that appears in this way, real and present there.’
སེམས་ཅན་བྱིས་པའི་རང་བཞིན་ཅན་མ་ཡིན་པ་དང་། རྨོངས་པའི་རང་བཞིན་ཅན་མ་ཡིན་པ་དང་། ཤེས་རབ་དང་ལྡན་པའི་རང་བཞིན་ཅན་གང་དག་ཡིན་པ་དེ་དག་ནི་འདི་སྙམ་དུ་སེམས་ཏེ། གང་འདི་ལྟར་སྣང་བའི་ཆུ་འདི་ནི་བདེན་པ་དང་། གནས་པའི་སྒོ་ནས་ཡོད་པ་མ་ཡིན་ཏེ། ||| “Beings whose disposition is insightful instead of childish or deluded think, ‘There is no water that appears in this way, real and present there.
སྨིག་རྒྱུ་འདི་འབའ་ཞིག་ཡོད་དོ། །མིག་སླུ་བར་བྱེད་པ་འདི་འབའ་ཞིག་ཡོད་དོ་སྙམ་དུ་སེམས་སོ། ། ||| It is only a mirage, just a visual illusion.’
དགེ་སློང་དག་དེ་བཞིན་དུ་འཕགས་པ་ཉན་ཐོས་ཐོས་པ་དང་ལྡན་པ་ཡང་བདག་གི་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་རོ་གང་དག་ཡིན་པ་དེ་དག་ལ་རྟག་པ་ཉིད་དམ། བརྟན་པ་ཉིད་དམ། ཐེར་ཟུག་ཉིད་དམ། དེ་བཞིན་ཉིད་དམ། མ་ནོར་བ་དེ་བཞིན་ཉིད་དམ། གཞན་མ་ཡིན་པ་དེ་བཞིན་ཉིད་དམ། ཡང་དག་པ་ཉིད་དམ། བདེན་པ་ཉིད་དམ། དེ་ཁོ་ན་ཉིད་དམ། ཇི་ལྟ་བ་བཞིན་ཉིད་དམ། ||| “Monks, in the same way, noble hearers who are learned think, ‘All of the past, future, and present tastes my tongue perceives lack permanence, stability, unchangeability, a true nature, an unmistaken true nature, a unique true nature, genuine reality, truth, suchness, a way things really are, infallibility, and incontrovertibility.
མ་ནོར་བ་ཉིད་དམ། ཕྱིན་ཅི་མ་ལོག་པ་ཉིད་མེད་དེ། གསོག་ཀྱང་དེ་ཉིད་ཡིན་ལ། ||| They are hollow.
གསོབ་ཀྱང་དེ་ཉིད་ཡིན། ||| They are vain.
སྙིང་པོ་མེད་པ་ཡང་དེ་ཉིད་ཡིན། ||| They have no essence.
བརྫུན་པ་ཡང་དེ་ཉིད་ཡིན། ||| They are false.
སླུ་བའི་ཆོས་ཀྱང་དེ་ཉིད་ཡིན། ||| They are deceptive phenomena.
བདུད་ཀྱང་དེ་ཉིད་ཡིན། ||| They are Māra.
བདུད་ཀྱི་ཡོ་བྱད་ཀྱང་དེ་ཉིད་ཡིན། ||| They are Māra’s tools.
རོ་ཡང་དེ་ཉིད་ཡིན། ||| They are corpses.
རོའི་གཟུགས་ཀྱང་དེ་ཉིད་ཡིན་པས་དེ་ལ་ནི་མངོན་པར་དགའ་བར་བྱ་བའམ། ||| They are corpse-like forms.
མངོན་པར་བརྗོད་པར་བྱ་བའམ། ལྷག་པར་ཆགས་པར་བྱ་བའམ། ||| Therefore, it does not make sense to delight in them, speak highly of them, or become and remain excessively attached to them.
ལྷག་པར་ཆགས་ཤིང་གནས་པར་བྱ་བར་མི་རིགས་ཀྱི་བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་འཕགས་པ་འཇིག་རྟེན་ལས་འདས་པ་ནི་བདེན་ནོ་ཞེས་དེ་ལྟར་སོ་སོར་རྟོག་པར་བྱེད་དོ། ། ||| The noble, supramundane wisdom taught by the Blessed One is true.’
དེས་དེ་ལྟར་ཤེས་ནས་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། ||| That is how they conduct a thorough analysis.
མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་རོ་རྣམས་ནད་དུ་ཡང་དག་པར་རྗེས་སུ་མཐོང་ཞིང་། འབྲས་དང་། ཟུག་རྔུ་དང་། ||| “Having understood that, they correctly see all of the tastes perceived by their tongue in the past, future, and present as a sickness.
སྡིག་པ་དང་། མི་རྟག་པ་དང་། སྡུག་བསྔལ་བ་དང་། སྟོང་པ་དང་། བདག་མེད་པར་ཡང་དག་པར་རྗེས་སུ་མཐོང་ངོ་། །དེས་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་རོ་རྣམས་ནད་དུ་ཡང་དག་པར་རྗེས་སུ་མཐོང་ཞིང་། འབྲས་དང་། ཟུག་རྔུ་དང་། ||| They correctly see them as a cancer, a splinter, a scorpion’s sting, impermanent, suffering, empty, and lacking a self.
སྡིག་པ་དང་། མི་རྟག་པ་དང་། སྡུག་བསྔལ་བ་དང་། སྟོང་པ་དང་། བདག་མེད་པར་ཡང་དག་པར་རྗེས་སུ་མཐོང་བ་ན། དེའི་ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་རོ་དག་ལ་ལོག་པར་མོས་པའམ། འདུ་ཤེས་ཕྱིན་ཅི་ལོག་གམ། སེམས་ཕྱིན་ཅི་ལོག་གམ། ལྟ་བ་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པ་འདི་ལྟ་སྟེ། བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། ཚུལ་ཁྲིམས་དང་བརྟུལ་ཞུགས་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་དང་། ||| “When they correctly see all the tastes perceived by their tongue in the past, future, and present as a sickness, and they correctly see them as a cancer, as a splinter, as a scorpion’s sting, as impermanent, suffering, empty, and lacking a self, they then abandon mistaken beliefs, wrong ideas, incorrect thoughts, and incorrect views regarding past, future, and present tastes perceived by the tongue that are the psychophysical bonds of covetousness, malice, a sense of moral and ascetic supremacy, and thinking, ‘This is the truth,’ and clinging to it as real.
འདི་བདེན་ནོ་སྙམ་དུ་མངོན་པར་ཞེན་ཅིང་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་གང་དག་ཡིན་པ་དེ་དག་སྤོང་བར་བྱེད་དོ། ། ||| “By abandoning those bonds, they render Māra blind, depressed, and disoriented and stand their ground.
དེ་དག་སྤངས་པའི་ཕྱིར་བདུད་ལྡོངས་པ་དང་། ཡི་ཆད་པ་དང་། ཕྱོགས་མེད་པར་བྱས་ཏེ་གནས་ཤིང་བདུད་སྡིག་ཅན་གྱིས་མི་མཐོང་བར་སོང་ནས་བདུད་དང་བདུད་ཀྱི་འཁོར་བཅོམ་ཞིང་གཡུལ་ཆེན་པོའི་གཡུལ་སྤྲད་དེ། ||| Since evil Māra can no longer see them, they destroy Māra and his retinue and wage battle against his great army.
གཡུལ་ལས་རྣམ་པར་རྒྱལ་བ་དང་། ||| They are victorious in battle, destroy the army, and stand their ground.
གཡུལ་ངོ་དེ་ཉིད་མངོན་པར་ཕམ་པར་བྱས་ཤིང་གནས་ཏེ་དེ་ལྟར་ན་འདི་ལ་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་སྦྱོར་བར་རྗེས་སུ་ཞུགས་པ་ལ་གནས་པ་ནི་ཤེས་རབ་ཀྱིས་འཚོ་བ་རྣམས་ཀྱི་ནང་ན་བླ་ན་མེད་པས་འཚོ་བ་ཡིན་ནོ། ། ||| This is how noble hearers who remain engaged in practicing superior wisdom are supported by wisdom, which among all supports is unsurpassed.
དགེ་སློང་དག་ཡང་ཇི་ལྟར་ན་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་སྦྱོར་བར་རྗེས་སུ་ཞུགས་པ་ལ་གནས་པ། ཤེས་རབ་ཀྱིས་འཚོ་བ་རྣམས་ཀྱི་ནང་ན་བླ་ན་མེད་པས་འཚོ་བ་ཡིན་ཞེ་ན། ||| “Monks, how else are noble hearers who remain engaged in practicing superior wisdom supported by wisdom, which among all supports is unsurpassed?
དགེ་སློང་དག་འདི་ལ་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་སྦྱོར་བར་རྗེས་སུ་ཞུགས་པ་ལ་གནས་པ་ནི་བདག་སྔོན་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ནི་རྗེས་སུ་ཆགས་ཤིང་གནས་པར་གྱུར་ལ། ||| Monks, noble hearers who remain engaged in practicing superior wisdom consider the following to conduct a thorough analysis: ‘Formerly, I became and remained attached to pleasant textures perceived by the body.
ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ནི་ཁོང་ཁྲོ་བ་དང་ལྡན་ཞིང་གནས་པར་གྱུར། ||| I became and remained averse to unpleasant textures perceived by the body.
ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ལ་ནི་སོ་སོར་བརྟགས་པ་མ་ཡིན། སོ་སོར་བརྟགས་པ་མ་ཡིན་པའི་བཏང་སྙོམས་སུ་གནས་པར་གྱུར་ཏེ། ||| I became and remained thoughtlessly indifferent to neutral textures perceived by the body.
དེ་ལྟར་བདག་ཡུན་རིང་པོ་ནས་འདི་ལ་རྗེས་སུ་སློབ་ཅིང་རྗེས་སུ་བྱེད་པ་ན་རྒ་བ་དང་། ||| I have trained myself and behaved in this way for a long time, and so I have experienced old age and death.
འཆི་བ་ཉམས་སུ་མྱོང་ཞིང་སྔོན་གྱི་མཐའ་མི་མངོན་པར་གྱུར་པས་བདག་གིས་ད་ནི་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་དག་ལ་སྔོན་ཇི་ལྟ་བ་དེ་ལྟར་བསླབ་པར་མི་བྱ་ཞིང་། བདག་གིས་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་རེག་བྱ་དག་ལ་ལོག་པར་མོས་པ་དང་། འདུ་ཤེས་ཕྱིན་ཅི་ལོག་གམ། སེམས་ཕྱིན་ཅི་ལོག་གམ། ||| The past is gone, so today I will no longer train myself as I did before regarding textures perceived by the body.
ལྟ་བ་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པ་འདི་ལྟ་སྟེ། བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། ཚུལ་ཁྲིམས་དང་བརྟུལ་ཞུགས་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་དང་། འདི་བདེན་ནོ་སྙམ་དུ་མངོན་པར་ཞེན་ཅིང་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་གང་དག་ཡིན་པ་དེ་དག་སྤང་བའི་ཕྱིར་བསླབ་པར་བྱ་ཞིང་། དེ་དག་སྤངས་པར་གྱུར་ཅིག་ཅེས་དེ་ལྟར་སོ་སོར་རྟོག་པར་བྱེད་པའི་ཕྱིར་རོ། ། ||| I must train myself to abandon mistaken beliefs, wrong ideas, incorrect thoughts, and incorrect views regarding past, future, and present textures perceived by the body that are the psychophysical bonds of covetousness, malice, a sense of moral and ascetic supremacy, and thinking, “This is the truth,” and clinging to it as real—and then I must abandon them.’
དགེ་སློང་དག་འོན་ཀྱང་འདི་ན་ཁ་ཅིག་ལ་ནི་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་དེ་དག་ཉིད་ཡིད་དུ་འོང་བར་འགྱུར་ལ། གཞན་དག་ལ་ནི་དེ་དག་ཉིད་ཡིད་དུ་མི་འོང་བར་འགྱུར་བ་ཡང་ཡོད་ལ། ||| “Moreover, monks, the very same textures perceived by the body may be pleasant to some but unpleasant to others.
