འཕགས་པ་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ། ||| The Noble Application of Mindfulness of the Sacred Dharma
།དེའི་ཕྱིར་འཇིགས་སུ་རུང་བའི་འཆི་བ་ལས་སྡུག་བསྔལ་དུ་མས་ཚང་ཚིང་དུ་གྱུར་པའི་ལམ་ལྷ་དེ་དག་རྣམས་ལ་བསྟན་པར་གྱུར་པ་ན། དེས་རབ་ཏུ་དང་བས་ཡིད་འཕྲོག་པར་བྱེད་པའི་བདེ་བ་སྐྱེད་པར་བྱེད་པའི་ཕྱིར་ན་ལྷ་རྣམས་ལ་རྗེས་སུ་སྟོན་ཏོ། ||| Therefore, since he shows them the path that leads away from terrifying death and the jungle of numerous sufferings, he inspires the gods to attain gratifying happiness.”
།མདོ་དྲུག་པ་ལས་རྣམ་པར་གཟིགས་ཀྱིས་མཛད་པའི་མདོ་སྡེ་གཉིས་པ་རྫོགས་སོ།། །།འཕགས་པ་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ། ||| This completes the discourse of Vipaśyin, the second among the six discourses.
བམ་པོ་བཞི་བཅུ་རྩ་དགུ་པ། ||| The Stūpa of the Buddha Krakucchanda
གཞན་ཡང་མུ་སུ་ལུན་དྷ་དེ་ཉིད་ཀྱིས་ལྷ་དེ་དག་རྣམས་ཉིད་ཁྲིད་དེ་ཚོགས་པ་རྒྱུ་བའི་ས་ལ་གནས་པའི་གང་དག་སེམས་བསྒོམས་པར་གྱུར་པ་དང་། གང་ཡང་ཡིད་བསྒོམས་པར་གྱུར་པ་དང་། རྒྱུད་བསྒོམས་པར་གྱུར་པ་དེ་དག་རྣམས་ཁྲིད་ནས་གཞན་ལ་ཕན་པར་བྱེད་པ་དང་། གཞན་ལ་ཕན་པ་སྦྱོར་བ་ལ་བརྩོན་པས་ལྷ་དེ་དག་རྣམས་ཀྱི་གཞན་ཡང་བག་མེད་པ་དེ་དག་གཞོམ་པར་འདོད་པས་ཀྱང་ལས་དང་འབྲས་བུའི་དེ་ཁོ་ན་ཉིད་མཐོང་བ་དང་དྲན་པར་ཡང་བྱས་ལ། ||| “In this way, Musulundha guides the gods in the realm of Moving in Gatherings. He guides those who have trained their minds, trained their intellects, and trained their mindstreams. He endeavors to help and provide for others. Wishing to eliminate the carelessness of the gods, he causes them to understand and reflect on the nature of actions and their effects.
སེམས་ཀྱི་རྒྱུད་དང་བར་ཡང་བྱས་ཤིང་གཞན་ཡང་དེ་དག་རྣམས་ཀྱི་རྒྱུད་ཤིན་ཏུ་རབ་ཀྱི་མཆོག་ལ་སྦྱོར་བས་འདོད་པ་རྣམས་ཀྱི་ཉེས་དམིགས་རྣམས་ཀྱང་ལེགས་པར་བསྟན་ཅིང་གསོན་པ་རྣམས་ཀྱང་མི་རྟག་པ་ཉིད་ཀྱི་རྟོགས་པ་འཕངས་ཤིང་འཁོར་བའི་རྒུད་པ་རྣམས་ཀྱང་བརྗོད་ནས་ལྷ་དེ་དག་རྣམས་ལ་འདི་སྐད་ཅེས་བརྗོད་དོ། །ལྷ་ཁྱེད་རྣམས་ལྟོས་དང་མཆོད་རྟེན་གསུམ་པ་གང་དེ་ཁོ་ན་མཐོང་བ་དེ་ནི་ཐུབ་པ་ཆེན་པོ་གཞན་འཁོར་བ་འཇིག་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས། ||| He engenders sincere faith in them so that they connect with the highest good. “Having shown them the flaws of pleasures, imparted an understanding of life’s impermanence, and addressed the misery of cyclic existence, Musulundha will then continue: ‘Gods, behold this third stūpa.
རིག་པ་དང་ཞབས་སུ་ལྡན་པ། བླ་ན་མེད་པ་སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ། སྟོན་པའི་ཡིན་ཏེ། ||| This is the stūpa of the great sage Krakucchanda—a worthy one, a perfect buddha, someone learned and virtuous, an unsurpassed being, a charioteer who guides others, and a teacher.
རིན་པོ་ཆེ་རྣམས་ཀྱིས་ལེགས་པར་གང་བ་འོད་ཟེར་གྱི་ཕྲེང་བ་གསེར་དང་ནོར་བུའི་སྟེགས་སུ་ནམ་མཁའ་འབུགས་པ་བཞིན་དུ་ཤིན་ཏུ་མཐོ་བར་གནས་པ་སྐྱེ་བོ་ཐམས་ཅད་རབ་ཏུ་དགའ་བ་འཐབ་བྲལ་གྱི་འཇིག་རྟེན་འདི་དག་ཐམས་ཅད་ཟིལ་གྱིས་མནན་ནས་ངེས་པར་གནས་པ་མཆོག་ཏུ་ཞི་བར་གྱུར་པ་དང་། མཆོག་ཏུ་དགའ་བར་གྱུར་པ་སེམས་ཀྱི་རྒྱུད་རླན་པ་བཞིན་དུ་ལྷ་རྣམས་ཐམས་ཅད་ཀྱི་ལྷའི་འཇིག་རྟེན་འདིའི་རྒྱལ་མཚན་དུ་གྱུར་པ། ||| This stūpa is studded with precious stones and draped with glittering garlands, and it has three golden and bejeweled terraces. It is very lofty and reaches into the sky. Enrapturing everyone, it outshines everything else in the Heaven Free from Strife. As a site of the highest peace and joy, it softens everyone’s being.
སྙིང་པོར་གྱུར་པ། བསམ་གཏན་དང་ལྡན་པ་བཞིན་དུ་རྣམ་པར་གནས་སོ། ||| For all the gods in this heaven, it is a victory banner, the most essential place, and an abode of concentration.
།རྣམ་པར་བཀྲ་བ་དགེ་བ་རིན་པོ་ཆེ་ཤིན་ཏུ་འབར་བ་རིན་པོ་ཆེའི་འོད་ལྷམ་མེ་བར་གྱུར་པ་དམ་པའི་ཆོས་སྟོན་པར་མཛད་པ་བཞིན་དུ་མཆོག་ཏུ་རྒྱ་ཆེ་བ་དགའ་བར་གྱུར་པར་མཐོང་བ་འདི་ལ་བདག་ཅག་གིས་ཁྲུས་གསོལ་བར་བྱའོ། ||| Glowing with many priceless virtues, it shines with a precious bright light and thus reveals the teachings of the Dharma. It is a sight of supreme and vast joy.
།བདག་ཅག་གིས་མཆོད་པར་བྱའོ། ||| Let us wash and worship this stūpa.
།ཙན་དན་ཡང་བདག་གིས་དབུལ་བར་བྱའོ། །མེ་ཏོག་དང་སྤོས་ལ་སོགས་པ་རྣམས་ཀྱིས་མཆོད་ནས་རིམ་གྱིས་བདག་གིས་བལྟ་བར་བྱའོ། ||| Let us worship it with sandalwood, flowers, incense, and the like, and then gradually approach it to see more of it.
།ཅི་འདིར་དྲང་སྲོང་ཆེན་པོར་གྱུར་པ་དེ་ཤིན་ཏུ་ངོ་མཚར་བར་གྱུར་པ་འདིས་ཅི་ཞིག་ཉེ་བར་མཚོན་པ་མཛད་ན། ||| What does the great sage convey by means of this great wonder?
གང་གིས་བདག་ཅག་རྣམས་ངེས་པར་ལེགས་པ་དང་། མཐར་ཕྱིན་པ་དང་། ཕན་པ་དང་བདེ་བར་ཡང་འགྱུར་བ་སྟེ། ||| He shows us the definitive good, that which is perfect, beneficial, and delightful.
རྒྱུ་གང་གི་ཕྱིར་སེམས་ཅན་རྣམས་ཐམས་ཅད་ལ་ཕན་པར་མི་འགྱུར་བ་དང་། བདེ་བར་མི་འགྱུར་བའི་བཅོམ་ལྡན་འདས་ཀྱི་མཛད་པ་ནི་གང་ཅུང་ཟད་ཀྱང་མི་མངའ་བའི་ཕྱིར་ཏེ། ||| A blessed one never does anything that is not beneficial and a source of happiness for sentient beings.
བདག་ཉིད་ལ་ཕན་པའི་དོན་ཉིད་ཀྱིས་ནི་འདི་དག་ཏུ་བྱོན་པ་ཡང་མ་ཡིན་ནོ། ||| The blessed ones never go anywhere for their own personal benefit.’
།དེ་ནས་ལྷ་དེ་དག་རྣམས་ཀྱིས་ལྷའི་བདག་པོ་དེའི་ཚིག་ཉེ་བར་བཟུང་ནས་དགེ་བར་བྱས་པའི་ཡིད་ཀྱིས་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| “Keeping in mind the words of their lord, the gods are in a virtuous state of mind, and thus they will reply, ‘We shall be there to worship.
།མཆོད་པའི་དོན་དུ་བདག་ཅག་རྣམས་མཆི་བར་བགྱི་ཞིང་བདག་ཉིད་རྗེས་སུ་གཟུང་བའི་དོན་དུ་དང་། བདག་ཉིད་ལ་ཕན་པའི་དོན་དུ་བདག་ཅག་རྣམས་འགྲོ་བར་བྱའོ། ||| We shall come along so that we may be accepted and so that we may receive the benefits.’
།དེ་ནས་ཚོགས་པ་རྒྱུ་བའི་ས་ན་གནས་པའི་ལྷ་དེ་དག་རྣམས་ཀྱིས་ལྷའི་བདག་པོ་མུ་སུ་ལུན་དྷ་སྔོན་དུ་བྱས་ནས་གང་ན་བཅོམ་ལྡན་འདས་དྲང་སྲོང་གི་མཆོག་དེའི་མཆོད་རྟེན་ཡོད་པ་དེར་ཉེ་བར་ལེགས་པར་འགྲོའོ། ||| “Hence, headed by the divine ruler Musulundha, the gods in the realm of Moving in Gatherings will approach the stūpa of that blessed supreme sage.
།སོང་ནས་ཀྱང་བཅོམ་ལྡན་འདས་འཁོར་བ་འཇིག་གི་མཆོད་རྟེན་ལ་གུས་པ་དང་བཅས་པའི་ཡིད་ཀྱིས་ཕྱག་འཚལ་བར་བྱེད་དེ། གཡས་ཕྱོགས་ནས་སྐོར་བར་ཡང་བྱེད་དོ། ||| Before the stūpa of the blessed Krakucchanda, they will respectfully prostrate and make circumambulations to the right.
།དེ་ནས་དེའི་ཚེ་མཆོད་རྟེན་གྱི་ནང་ན་རིན་པོ་ཆེའི་འོད་ཤིན་ཏུ་འབར་བ་རིན་པོ་ཆེ་དེ་དག་རྣམས་གང་གི་ཁྱད་པར་གྱིས་ནི་ཉི་མའི་འོད་ཟེར་ཡང་། སྲིན་བུ་མེ་ཁྱེར་གྱི་འོད་དང་འདྲ་བར་འགྱུར་རོ། ||| At that point, the glittering light of the stūpa’s jewels becomes so bright that it makes the light of the sun resemble that of a firefly.
།མཆོད་རྟེན་དེའི་ནང་ན་ཡང་གསེར་གྱི་རང་བཞིན་གྱི་བྱང་བུ་ལ་བྲིས་ནས་ནམ་མཁའ་ལ་འཕྱང་བ་ཡིན་ཏེ། རབ་ཏུ་འབར་བའི་ཡི་གེར་མངོན་པར་བྲིས་པའི་མདོ་ཡིན་ནོ། ||| The light projects the inscriptions on the stūpa’s golden interior into the sky, where the words of the discourse will appear in glittering letters.
།དེ་ཡང་རྫུ་འཕྲུལ་མཛད་པའི་ཆོ་འཕྲུལ་གྱིས་རླག་པར་མི་འགྱུར་ཞིང་ཉེ་བར་རླག་པར་མི་འགྱུར་ཏེ། དེ་རྒྱུ་གང་གིས་ལྷ་དང་མི་རྣམས་ལ་ཕན་པའི་དོན་དུ་མདོ་དེ་བསྟན་པའི་ཕྱིར་རོ། ||| Miraculously, the letters do not fade, and in this way the teaching is revealed for the benefit of gods and humans.
།ཐུབ་པ་བཅོམ་ལྡན་འདས་འཁོར་བ་འཇིག་དེས་ལྷ་དང་མི་རྣམས་ལ་ཆོས་སྟོན་པར་མཛད་པ་ནི་འདི་ལྟ་སྟེ། ||| The Dharma teaching, which is given to gods and humans by the able one, the blessed Krakucchanda, is as follows:
རྒྱུ་གང་གིས་ལྷ་རྣམས་འགྲོ་བ་དྲུག་ནས་དང་། མི་རྣམས་མི་རྣམས་ནས་འཆི་འཕོ་བ་དང་། ལྷ་རྣམས་ལྷ་ཡུལ་དུ་སྟེ། ||| “ ‘Causes make the gods take birth from the realms of the six classes of beings, they make humans die and transmigrate from the human realms, and they make gods die and transmigrate from their divine realms.
དེ་ལྟར་ཕན་ཚུན་དུ་འགྲོ་བ་དྲུག་པོ་རྣམས་ཕན་ཚུན་དུ་དཔུང་གཉེན་དུ་གྱུར་པ་ཡིན་ལ། ||| In this way, the six classes of beings are mutually dependent.
དེ་ལ་ལྷ་དང་མི་རྣམས་ཀྱང་ཚུལ་ཁྲིམས་ཀྱིས་མཐོ་རིས་སུ་སྐྱེ་བ་ནི་སླུ་བ་མེད་པའི་གནས་ཡིན་ནོ། ||| “ ‘Gods and humans are born in the higher realms by virtue of discipline—that is a nondeceptive fact.
།དེ་ལ་ཚུལ་ཁྲིམས་དེ་ནི་རྣམ་པ་གཉིས་ཡིན་ཏེ། སྡོམ་པ་སྔར་བྱས་པ་དང་ཐར་བར་བྱས་པའོ། ||| Moreover, such discipline is twofold—in some cases, it is preceded by vows, and in others by freedom.
།དེ་ལ་དོན་ཡོད་པ་ཞེས་བྱ་བའི་ཚུལ་ཁྲིམས་གང་ཞིག་དོན་ཡོད་པ་འབའ་ཞིག་ཁོ་ནས་འཇུག་པའི་རབ་ཏུ་དང་བས་སེམས་རབ་ཏུ་དང་བའི་དབང་གིས་སངས་རྒྱས་ལ་སོགས་པ་རྣམས་ལ་རབ་ཏུ་དང་བར་འགྱུར་རོ། ||| In the case of so-called meaningful discipline, one is inspired to engage only in what is meaningful. With an inspired mind one develops faith in the buddhas, and so forth.
།ལུས་ཀྱི་ལེགས་པར་སྤྱོད་པ་དང་། ངག་གི་ལེགས་པར་སྤྱོད་པ་དང་། ཡིད་ཀྱི་ལེགས་པར་སྤྱོད་པ་རྣམས་བྱེད་པར་འགྱུར་རོ། །ལོག་པར་ལྟ་བ་ཅན་དུ་ཡང་མི་འགྱུར་རོ། ||| One engages in wholesome actions of body, speech, and mind and does not develop wrong views.
།ཇི་སྲིད་འཚོའི་བར་དུ་ཡང་ལས་དང་འབྲས་བུ་རྣམས་ལ་རྒྱུད་དད་པ་དང་ལྡན་པར་འགྱུར་རོ། ||| For as long as one is alive, one maintains faith in karmic actions and their results.
།ཆོས་དང་ལྡན་པའི་ལོངས་སྤྱོད་རྣམས་ཀྱང་ཆོས་ཀྱིས་ལོངས་སྤྱོད་པར་བྱེད་ཀྱི། གཞན་རྣམས་གདུང་བར་བྱེད་པ་ནི་མ་ཡིན་ནོ། ||| One enjoys the riches of the Dharma by means of the Dharma and does not cause others to suffer.
།མ་དང་ཕ་ལ་གུས་པར་འགྱུར་རོ། ||| One has respect for one’s parents.
།དགེ་སྦྱོང་དང་བྲམ་ཟེ་རྣམས་ཉེ་བར་འོང་བའི་རང་བཞིན་ཅན་དུ་འགྱུར་རོ། ||| One will stay close to mendicants and brahmins.
།དམ་པའི་ཆོས་ཉན་པའི་རང་བཞིན་དུ་འགྱུར་རོ། །འཐུན་པས་འགྲོ་བའི་རང་བཞིན་ཅན་དུ་འགྱུར་རོ། །ཡོངས་སུ་འདྲི་བའི་རང་བཞིན་ཅན་དུ་འགྱུར་ཏེ། ||| One will be inclined to listen to the sacred Dharma, observe agreeable conduct, and have an inquisitive nature.
དེ་ལྟར་དོན་དང་ལྡན་པ་འབའ་ཞིག་པ་ཁོ་ནས་རབ་ཏུ་དང་བ་དང་ཡང་དག་པར་ལྡན་པར་འགྱུར་རོ། ||| Thus, one develops inspired faith in ways that are meaningful in all regards.
།དོན་དང་ལྡན་པ་ཐམས་ཅད་ལེགས་པར་གང་བར་སྤྱོད་པ་ཡིན་ཏེ། ལུས་ཀྱི་ལེགས་པར་སྤྱད་པ་རྣམས་སྤྱོད་པར་བྱེད། ||| One engages in all manner of meaningful activity, which is to say that one engages in wholesome actions of body and mind.
ཡིད་ཀྱིས་ལེགས་པར་སྤྱད་པ་རྣམས་སྤྱོད་པར་བྱེད་ཀྱི་སྡོམ་པ་འཛིན་པ་ནི་མ་ཡིན་ཡང་དེ་ལུས་ཞིག་ནས་བདེ་འགྲོ་མཐོ་རིས་ཀྱི་འཇིག་རྟེན་དུ་སྟེ། ||| “ ‘Even if one is not a vow holder, one will, upon the disintegration of one’s body, ascend to the joyous higher realms.
སེམས་ཀྱི་སྤྱོད་པ་ཉམས་སུ་མྱོང་བའི་དབང་གིས་དགེ་བས་གལ་ཏེ་འཐབ་བྲལ་གྱི་ལྷ་རྣམས་སུ་སྐྱེའོ། ||| Because of the virtuous nature of one’s mental experience, one will then be born among the gods in the Heaven Free from Strife.
།དེ་ལྷ་གཞན་རྣམས་ཀྱི་ཁྱད་པར་གྱིས་གཟུགས་དང་། ཆ་བྱད་དང་། རྒྱན་དང་། བུད་མེད་དང་། ཡུལ་ལྗོངས་དང་། ཟས་དམན་པ་རྣམས་ལ་སྤྱོད་པར་འགྱུར་རོ། ||| However, compared to the other gods, one will obtain inferior ornamentations, female companions, bodies, abodes, and food.
།དེ་ཟས་ལ་ལོངས་སྤྱོད་པའི་དུས་ན་ངོ་ཚ་བར་འགྱུར་རོ། ||| One will therefore feel embarrassed when partaking of food.
།འདིའི་འོད་རྣམས་ཤིན་ཏུ་དམན་པར་ཡང་འགྱུར། འདོད་པའི་ལོངས་སྤྱོད་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཐམས་ཅད་ཀྱང་ཤིན་ཏུ་དམན་པར་འགྱུར་རོ། ||| One’s radiance will also be far inferior, as will one’s enjoyments.
།དོན་ཡོད་པ་དེ་ལེགས་པར་ཡོངས་སུ་རྫོགས་པའི་ཚུལ་ཁྲིམས་ཀྱི་འབྲས་བུ་དང་། གཞན་སྡོམ་པ་ལ་གནས་པའི་ཚུལ་ཁྲིམས་འཛིན་པའི་ལྷ་རྣམས་ཀྱི་ཁྱད་པར་རོ། ||| “ ‘Meaningful discipline is an effect of having perfected discipline, and it is a higher form of discipline than that of the gods who maintain the discipline associated with vows.
།གཞན་ཡང་དོན་ཡོད་པར་གྱུར་པའི་ཚུལ་ཁྲིམས་སུ་གྱུར་པ་ནི་སངས་རྒྱས་ལ་སོགས་པ་ལ་རབ་ཏུ་དང་བ་དང་ལྡན་ལ་སྡོམ་པ་ནི་ཉི་མ་གཅིག་ཀྱང་ངེས་པར་འཛིན་པར་མི་བྱེད་དེ། ||| Those who engage in meaningful discipline will have faith in the buddhas, and so forth, yet without observing vows for even a single day.
ལུས་ཀྱི་ལེགས་པར་སྤྱོད་པ་དང་ཡང་དག་པར་ལྡན་པར་འགྱུར་ལ། ངག་གི་ལེགས་པར་སྤྱོད་པ་དང་ཡང་ཡང་དག་པར་ལྡན་པར་འགྱུར་རོ། །མ་ལུས་པ་མ་ཡིན་པར་རོ། ||| They will also engage in positive actions of body and speech, although not comprehensively.
།གང་ཞེ་ན། མ་ལུས་པ་མ་ཡིན་པས་ལུས་ཀྱི་ལེགས་པར་སྤྱོད་པས་སྲོག་གཅོད་པ་དང་། འདོད་པ་ལ་ལོག་པར་སྤྱོད་པ་གཉིས་རབ་ཏུ་སྤོང་བར་བྱེད་ལ། ཡང་མ་བྱིན་པར་ལེན་པ་རྣམས་ནི་མ་ཡིན་ནོ། ||| That is to say, their conduct is not comprehensive because, although they give up killing and sexual misconduct, they do not relinquish stealing.
།དེ་དག་ནི་མ་ལུས་པར་ལེགས་པར་སྤྱོད་པར་བྱེད་པས་སྤྱོད་པ་ནི་མ་ཡིན་ནོ། ||| Their practice of positive actions is therefore not comprehensive.
།ངག་གི་ལེགས་པར་སྤྱོད་པ་རྣམས་ཀྱང་ཐམས་ཅད་དུ་ལེགས་པར་སྤྱད་པ་སྤྱོད་པ་མ་ཡིན་ཏེ། བརྫུན་འབའ་ཞིག་ཙམ་སྨྲ་བར་མི་བྱེད་ལ་ངག་གི་དྲི་མ་རྣམས་ནི་མི་སྤོང་ངོ་། ||| “ ‘Their practice of positive verbal actions may also be incomplete, such that they only give up lying without relinquishing all the stains of speech.
།དེ་ཡང་དོན་ཡོད་པ་གཅིག་ལེགས་པར་སྤྱད་པ་སྤྱོད་དོ། ||| Such people only practice one feature of meaningful conduct.
།གལ་ཏེ་དེ་སྲིད་པ་ཐ་མའི་སེམས་རབ་ཏུ་དང་བའི་དབང་གིས་ལན་གྲངས་གཞན་ལ་མྱོང་བར་འགྱུར་བའི་ལེགས་པར་བྱས་པའི་ལས་རྣམས་ཀྱི་རྐྱེན་གྱིས་འཐབ་བྲལ་བ་རྣམས་སུ་སྐྱེ་ལ་ཤིན་ཏུ་དམན་པར་ཡང་མི་འགྱུར་ཏེ། ||| If such individuals develop faith on the verge of death, and if there are conducive conditions in the form of positive actions to be experienced in other lives, they may take birth among the gods in the Heaven Free from Strife. There, they will not be among the most inferior gods, but instead stand before gods who in the past engaged comprehensively in meaningful conduct.
སྔར་གྱི་དོན་ཡོད་པར་ལེགས་པར་སྤྱད་པ་སྤྱོད་པ་དེའི་དྲུང་ན་ཚད་དང་། མདོག་དང་། གཟུགས་དང་། ཆ་བྱད་རྒྱན་དང་། ཟས་དང་། སྤྱོད་པས་གནས་པ་རྣམས་དང་། འདོད་པའི་བུད་མེད་དང་། ཡུལ་ལྗོངས་རྣམས་ལ་རིམ་གྱིས་སྒྲ་རེག་རོ་གཟུགས་དྲི་རྣམས་ལ་ཡང་སྟེ། སྡོམ་པ་དགེ་བ་སྤྱད་པའི་ཁྱད་པར་ཅན་གྱི་ལྷ་གཞན་རྣམས་ཀྱི་ཁྱད་པར་གྱིས་ནི་དེས་རང་ཉིད་དམན་པར་མངོན་པར་མཐོང་ནས་ངོ་ཚ་བར་འགྱུར་རོ། ||| Such gods will thus be overwhelmed by those gods’ superior size, complexions, form, attire, ornaments, food, activities, desirable females, and surrounding environments. The perception of such special sounds, textures, tastes, forms, and smells will make them feel inferior and ashamed.
།གཞན་ཡང་དོན་ཡོད་པར་གྱུར་པའི་ཚུལ་ཁྲིམས་དང་ཡང་དག་པར་ལྡན་པ་ཡོད་དེ། ཡང་དག་པའི་ལྟ་བ་ཅན་དུ་གྱུར་པ་དང་། ཐོས་པའི་རིགས་དང་ལྡན་པ་དང་། སངས་རྒྱས་ལ་སོགས་པ་ལ་གུས་པའི་རིགས་ཅན་དུ་འགྱུར་བའོ། ||| “ ‘There are also some adherents to meaningful discipline who have the authentic view, an affinity for learning, a propensity for respecting the buddhas, and so forth.
།སྡོམ་པ་ནི་གཅིག་ཀྱང་འཛིན་པ་ཡང་མ་ཡིན་ནོ། ||| Such people may not hold even a single vow.
།འོན་ཀྱང་ཚུལ་ཁྲིམས་འཆལ་པའི་ཐ་སྙད་ཀྱིས་འཇིགས་ནས་མ་བྱིན་པར་ལེན་པར་མི་བྱེད་དོ། ||| Still, fearful of engaging in corrupt discipline, they refrain from stealing.
།སངས་རྒྱས་ཉིད་ཀྱིས་གསུངས་པའི་རྒྱུ་འཐུན་པའི་འབྲས་བུས་དབུལ་པོ་སྒྲུབ་པར་བྱེད་པ་དང་། མ་བྱིན་པར་ལེན་པས་དམྱལ་བ་རྣམས་སུ་ཡང་སྐྱེ་བར་འགྱུར་བ་ཐོས་པས་ཀྱང་སྐྱེ། འདོད་པ་ཅན་ཡིན་ཡང་འཇིགས་པ་ལ་སོགས་པས་ལུས་ཀྱིས་རྟག་ཏུ་མ་བྱིན་པར་ལེན་པ་མི་ལེན་ཏོ། ||| They will have heard the buddhas’ teaching that poverty follows as a concordant effect of stealing, or that such acts lead to birth in the hells. Hence, although they may have a craving for something, factors such as fear make them refrain from stealing.
།ངག་གི་ལས་ཀྱང་ཕྲ་མ་བྱེད་པའི་རང་བཞིན་ཅན་མ་ཡིན་ནོ། ||| Such people do not engage in the verbal act of divisive talk either.
།ཕན་ཚུན་དུ་འབྱེད་པར་མི་བྱེད་པ་དང་། བྱེ་བའི་སེམས་ཅན་རྣམས་ཀྱང་འབྱེད་པར་མི་བྱེད་དོ། །ལེགས་པར་འཛིན་པར་ཡང་བྱེད་དེ། ||| They do not engage in such activities among themselves, nor do they create divisions among eminent beings.
ངང་ཚུལ་ངན་པའི་འཇིགས་པ་དང་། སངས་རྒྱས་དང་སངས་རྒྱས་མ་ཡིན་པའི་གསུང་ཡང་ཉན་པར་བྱེད་དོ། ||| They complete their tasks, are wary of bad character, and listen to the teachings of buddhas and others.
།ཇི་ལྟར་ཕྲ་མའི་རྒྱུ་འཐུན་པའི་འབྲས་བུ་ནི་གྲོགས་པོ་དང་། བྲན་ཕོ་དང་། བྲན་མོ་དང་། ཆུང་མ་རྣམས་དང་འབྱེ་བར་འགྱུར་རོ། ||| They have heard the teachings of the buddhas and others that explain how the effects that accord with divisive talk are such that one will experience discord with one’s friends, servants, and spouse.
།ལུས་ཞིག་ནས་ཀྱང་ངན་སོང་ལོག་པར་ལྟུང་བར་དམྱལ་བར་སྐྱེ་བར་འགྱུར་ཞེས་སངས་རྒྱས་དང་སངས་རྒྱས་མ་ཡིན་པ་རྣམས་ཀྱི་ཚིག་ཐོས་པ་དང་། རྒྱུ་གཉིས་པོ་འདི་དག་གིས་དེ་ཕྲ་མ་བྱེད་པའི་ངང་ཚུལ་ཅན་མ་ཡིན་ནོ། ||| They have likewise heard that upon the disintegration of one’s body, such acts will cause one to fall into the lower realms and be born in hell. Hence, for those two reasons, they refrain from divisive talk.
།དེ་ལུས་ཞི་གནས་སེམས་ཐ་མའི་དབང་གིས་དང་། ལས་ལན་གྲངས་གཞན་ལ་ལེགས་པར་བྱས་པའི་དབང་གིས་ཀྱང་རུང་གལ་ཏེ་བརྒྱ་ལ་ན་ཞིང་ལ་རབ་ཏུ་དང་བ་མེད་པར་ཡང་བརྒྱ་ལ་ན་འཐབ་བྲལ་གྱི་ལྷ་རྣམས་ཀྱི་ནང་དུ་སྐྱེས་ན་དེ་ཆེས་དམན་པའི་ཚད་དང་། ཁ་དོག་དང་། དབྱིབས་སུ་འགྱུར་རོ། ||| “ ‘When the bodies of such people disintegrate, it may happen that the power of their final state of mind, or the force of their positive actions to be experienced in other lives, leads them to take birth among the gods in the Heaven Free from Strife, even if they are not inspired by that realm.
།བུད་མེད་དང་། ཡུལ་ལྗོངས་དང་། ཟས་དམན་པ་རྣམས་ལ་སྤྱོད་པར་འགྱུར་རོ། ||| In such an event, their sizes, hues, shapes, environments, and food will all be of inferior quality.
།སྒྲ་དང་། རེག་བྱ་དང་། གཟུགས་དང་། རོ་དང་། དྲི་རྣམས་དམན་པར་འགྱུར་རོ། །ཚེ་ཤིན་ཏུ་དམན་པར་འགྱུར་རོ། །འོད་དམན་པར་འགྱུར་རོ། །ལྷ་གཞན་རྣམས་ཀྱི་དྲུང་དུ་ཤིན་ཏུ་ཡང་ངོ་ཚ་བ་འབྱུང་བར་འགྱུར་རོ། ||| The sounds, textures, forms, tastes, and smells that they experience will also be inferior, and they will feel great embarrassment in front of other gods.
།དོན་ཡོད་པ་དེ་དག་གི་རབ་ཏུ་དང་བའི་དབང་གིས་ལྷའི་སྐྱེ་བ་གསུམ་དུ་འགྱུར་ཏེ། ||| “ ‘Corresponding to the quality of their commitment to meaningful discipline, they may take birth among the gods in three different ways.
སངས་རྒྱས་ལ་སོགས་པ་ལ་རབ་ཏུ་དང་བ་འབའ་ཞིག་གིས་དང་། དེ་ལྟར་སེམས་ཀྱི་ཡོན་ཏན་གྱི་ཁྱད་པར་རྣམས་ཀྱིས་སམ། སེམས་འཇམ་པོར་གྱུར་པའི་ཁྱད་པར་གྱིས་སམ། ཡང་དག་པའི་ལྟ་བ་ལ་རབ་ཏུ་དང་བའི་ཁྱད་པར་གྱིས་སམ། བསམ་པ་ཉེ་བར་སྐྱེས་པའི་སེམས་ཀྱི་ཁྱད་པར་རྣམས་ཀྱང་འདི་ལྟ་སྟེ། མ་དང་ཕ་ལ་ཤིན་ཏུ་གུས་པ་དང་། ལེགས་པར་ཉན་པའམ། ||| There will be differences in terms of how consummate their faith in the buddhas and so forth may be, or what special qualities their minds may possess, how gentle their minds may be, how devoted to the authentic view they may be, what form their wishes may take, how respectful to their parents they may be, how much teaching they may have received, how great their qualities may be, or what the characteristics of their aspirations are.
ཡོན་ཏན་གྱི་ཁྱད་པར་དག་གིས་སམ། སྨོན་ལམ་གྱི་ཁྱད་པར་དག་གིས་ཀྱང་སྟེ། ||| It is due to such differences in their minds, and the way they become inspired by the objects of their faith, that the qualities of their minds are inferior, intermediate, or superior.
